province,avg_salinity,date_start,day_end
Dong Thap,0.2,12/28/2020,1/3/2021
Dong Thap,0.6,1/4/2021,1/10/2021
Dong Thap,0.7,1/11/2021,1/17/2021
Dong Thap,0.9,1/18/2021,1/24/2021
Dong Thap,0.8,1/25/2021,1/31/2021
Dong Thap,0.1,2/1/2021,2/7/2021
Dong Thap,0.9,2/8/2021,2/14/2021
Dong Thap,0.1,2/15/2021,2/21/2021
Dong Thap,0.5,2/22/2021,2/28/2021
Dong Thap,0.4,3/1/2021,3/7/2021
Dong Thap,1,3/8/2021,3/14/2021
Dong Thap,0.6,3/15/2021,3/21/2021
Dong Thap,0.1,3/22/2021,3/28/2021
Dong Thap,0.1,3/29/2021,4/4/2021
Dong Thap,0.1,4/12/2021,4/18/2021
Dong Thap,0.7,4/19/2021,4/25/2021
Dong Thap,0.6,4/26/2021,5/2/2021
Dong Thap,0.9,5/3/2021,5/9/2021
Dong Thap,0.9,5/10/2021,5/16/2021
Dong Thap,0.9,5/17/2021,5/23/2021
Dong Thap,0.8,5/24/2021,5/30/2021
Dong Thap,0.2,5/31/2021,6/6/2021
Dong Thap,0.4,6/7/2021,6/13/2021
Dong Thap,0.5,6/14/2021,6/20/2021
Dong Thap,0.5,6/21/2021,6/27/2021
Dong Thap,0,6/28/2021,7/4/2021
Dong Thap,0.6,7/5/2021,7/11/2021
Dong Thap,0.4,7/12/2021,7/18/2021
Dong Thap,0.5,7/19/2021,7/25/2021
Dong Thap,0.7,7/26/2021,8/1/2021
Dong Thap,0.1,8/2/2021,8/8/2021
Dong Thap,0.7,8/9/2021,8/15/2021
Dong Thap,0.6,8/16/2021,8/22/2021
Dong Thap,1,8/23/2021,8/29/2021
Dong Thap,1,8/30/2021,9/5/2021
Dong Thap,0.4,9/6/2021,9/12/2021
Dong Thap,0.2,9/13/2021,9/19/2021
Dong Thap,0.2,9/20/2021,9/26/2021
Dong Thap,0.3,9/27/2021,10/3/2021
Dong Thap,0.4,10/4/2021,10/10/2021
Dong Thap,0.3,10/11/2021,10/17/2021
Dong Thap,0.4,10/18/2021,10/24/2021
Dong Thap,0,10/25/2021,10/31/2021
Dong Thap,0.9,11/1/2021,11/7/2021
Dong Thap,0.9,11/8/2021,11/14/2021
Dong Thap,0.9,11/15/2021,11/21/2021
Dong Thap,0.9,11/22/2021,11/28/2021
Dong Thap,0.1,11/29/2021,12/5/2021
Dong Thap,0.6,12/6/2021,12/12/2021
Dong Thap,0.5,12/13/2021,12/19/2021
Dong Thap,0.8,12/20/2021,12/26/2021
Dong Thap,0.3,12/27/2021,1/2/2022
Dong Thap,0.2,1/3/2022,1/9/2022
Dong Thap,0.3,1/10/2022,1/16/2022
Dong Thap,0.2,1/17/2022,1/23/2022
Dong Thap,0.6,1/24/2022,1/30/2022
Dong Thap,0.8,1/31/2022,2/6/2022
Dong Thap,0.6,2/7/2022,2/13/2022
Dong Thap,0.5,2/14/2022,2/20/2022
Dong Thap,0.7,2/21/2022,2/27/2022
Dong Thap,0.1,2/28/2022,3/6/2022
Dong Thap,0.1,3/7/2022,3/13/2022
Dong Thap,0.4,3/14/2022,3/20/2022
Dong Thap,0,3/21/2022,3/27/2022
Dong Thap,0.4,3/28/2022,4/3/2022
Dong Thap,0.8,4/4/2022,4/10/2022
Dong Thap,0.9,4/11/2022,4/17/2022
Dong Thap,0.7,4/18/2022,4/24/2022
Dong Thap,0.1,4/25/2022,5/1/2022
Dong Thap,1,5/2/2022,5/8/2022
Dong Thap,0,5/9/2022,5/15/2022
Dong Thap,0.3,5/16/2022,5/22/2022
Dong Thap,0.7,5/23/2022,5/29/2022
Dong Thap,0.9,5/30/2022,6/5/2022
Dong Thap,0.1,6/6/2022,6/12/2022
Dong Thap,0.2,6/13/2022,6/19/2022
Dong Thap,0.8,6/20/2022,6/26/2022
Dong Thap,0.3,6/27/2022,7/3/2022
Dong Thap,0.5,7/4/2022,7/10/2022
Dong Thap,0.6,7/11/2022,7/17/2022
Dong Thap,0.6,7/18/2022,7/24/2022
Dong Thap,0.4,7/25/2022,7/31/2022
Dong Thap,0.9,8/1/2022,8/7/2022
Dong Thap,0.7,8/8/2022,8/14/2022
Dong Thap,0.6,8/15/2022,8/21/2022
Dong Thap,0.4,8/22/2022,8/28/2022
Dong Thap,0.2,8/29/2022,9/4/2022
Dong Thap,0.1,9/5/2022,9/11/2022
Dong Thap,0.9,9/12/2022,9/18/2022
Dong Thap,0.5,9/19/2022,9/25/2022
Dong Thap,0.7,9/26/2022,10/2/2022
Dong Thap,0.9,10/3/2022,10/9/2022
Dong Thap,0.4,10/10/2022,10/16/2022
Dong Thap,0.7,10/17/2022,10/23/2022
Dong Thap,0.7,10/24/2022,10/30/2022
Dong Thap,0.7,10/31/2022,11/6/2022
Dong Thap,0,11/7/2022,11/13/2022
Dong Thap,0.3,11/14/2022,11/20/2022
Dong Thap,0.8,11/21/2022,11/27/2022
Dong Thap,0.6,11/28/2022,12/4/2022
Dong Thap,0.5,12/5/2022,12/11/2022
Dong Thap,1,12/12/2022,12/18/2022
Dong Thap,0.1,12/19/2022,12/25/2022
Dong Thap,0.9,12/26/2022,1/1/2023
