province,avg_salinity,date_start,day_end
Kien Giang,4.26,12/28/2020,1/3/2021
Kien Giang,6.44,1/4/2021,1/10/2021
Kien Giang,4.39,1/11/2021,1/17/2021
Kien Giang,4.57,1/18/2021,1/24/2021
Kien Giang,7.04,1/25/2021,1/31/2021
Kien Giang,8.26,2/1/2021,2/7/2021
Kien Giang,9.08,2/8/2021,2/14/2021
Kien Giang,9.88,2/15/2021,2/21/2021
Kien Giang,9.45,2/22/2021,2/28/2021
Kien Giang,9.43,3/1/2021,3/7/2021
Kien Giang,8.68,3/8/2021,3/14/2021
Kien Giang,9.55,3/15/2021,3/21/2021
Kien Giang,7.88,3/22/2021,3/28/2021
Kien Giang,6.66,3/29/2021,4/4/2021
Kien Giang,5.6,4/12/2021,4/18/2021
Kien Giang,4.83,4/19/2021,4/25/2021
Kien Giang,2.84,4/26/2021,5/2/2021
Kien Giang,2.75,5/3/2021,5/9/2021
Kien Giang,3.43,5/10/2021,5/16/2021
Kien Giang,3.77,5/17/2021,5/23/2021
Kien Giang,3.1,5/24/2021,5/30/2021
Kien Giang,1.19,5/31/2021,6/6/2021
Kien Giang,1.49,6/7/2021,6/13/2021
Kien Giang,0.25,6/14/2021,6/20/2021
Kien Giang,0.37,6/21/2021,6/27/2021
Kien Giang,1.15,6/28/2021,7/4/2021
Kien Giang,0.52,7/5/2021,7/11/2021
Kien Giang,1.95,7/12/2021,7/18/2021
Kien Giang,0.14,7/19/2021,7/25/2021
Kien Giang,0.78,7/26/2021,8/1/2021
Kien Giang,0.51,8/2/2021,8/8/2021
Kien Giang,0.32,8/9/2021,8/15/2021
Kien Giang,1.29,8/16/2021,8/22/2021
Kien Giang,0.1,8/23/2021,8/29/2021
Kien Giang,1.27,8/30/2021,9/5/2021
Kien Giang,0.44,9/6/2021,9/12/2021
Kien Giang,1.86,9/13/2021,9/19/2021
Kien Giang,0.92,9/20/2021,9/26/2021
Kien Giang,0.21,9/27/2021,10/3/2021
Kien Giang,0.32,10/4/2021,10/10/2021
