province,avg_salinity,date_start,day_end
Long An,3.08,12/28/2020,1/3/2021
Long An,3.93,1/4/2021,1/10/2021
Long An,6.3,1/11/2021,1/17/2021
Long An,5.53,1/18/2021,1/24/2021
Long An,5.88,1/25/2021,1/31/2021
Long An,7.75,2/1/2021,2/7/2021
Long An,6.83,2/8/2021,2/14/2021
Long An,7.52,2/15/2021,2/21/2021
Long An,7.47,2/22/2021,2/28/2021
Long An,6.84,3/1/2021,3/7/2021
Long An,7.33,3/8/2021,3/14/2021
Long An,4.96,3/15/2021,3/21/2021
Long An,5.34,3/22/2021,3/28/2021
Long An,6.35,3/29/2021,4/4/2021
Long An,6.94,4/12/2021,4/18/2021
Long An,4.03,4/19/2021,4/25/2021
Long An,3.02,4/26/2021,5/2/2021
Long An,3.45,5/3/2021,5/9/2021
Long An,2.86,5/10/2021,5/16/2021
Long An,2.71,5/17/2021,5/23/2021
Long An,3.4,5/24/2021,5/30/2021
Long An,3.42,5/31/2021,6/6/2021
Long An,1.75,6/7/2021,6/13/2021
Long An,1.89,6/14/2021,6/20/2021
Long An,1.33,6/21/2021,6/27/2021
Long An,0.14,6/28/2021,7/4/2021
Long An,0.22,7/5/2021,7/11/2021
Long An,0.28,7/12/2021,7/18/2021
Long An,1.45,7/19/2021,7/25/2021
Long An,0.21,7/26/2021,8/1/2021
Long An,0.85,8/2/2021,8/8/2021
Long An,0.94,8/9/2021,8/15/2021
Long An,0.7,8/16/2021,8/22/2021
Long An,0.41,8/23/2021,8/29/2021
Long An,0.31,8/30/2021,9/5/2021
Long An,1.33,9/6/2021,9/12/2021
Long An,2.16,9/13/2021,9/19/2021
Long An,0.03,9/20/2021,9/26/2021
Long An,0.03,9/27/2021,10/3/2021
Long An,0.02,10/4/2021,10/10/2021
Long An,0.48,10/11/2021,10/17/2021
Long An,0.35,10/18/2021,10/24/2021
Long An,0.48,10/25/2021,10/31/2021
Long An,0.71,11/1/2021,11/7/2021
Long An,1.23,11/8/2021,11/14/2021
Long An,0.03,11/15/2021,11/21/2021
Long An,0.04,11/22/2021,11/28/2021
Long An,0.45,11/29/2021,12/5/2021
Long An,0.74,12/6/2021,12/12/2021
Long An,2.33,12/13/2021,12/19/2021
Long An,3.32,12/20/2021,12/26/2021
Long An,2.58,12/27/2021,1/2/2022
Long An,3.26,1/3/2022,1/9/2022
Long An,4.8,1/10/2022,1/16/2022
Long An,5.2,1/17/2022,1/23/2022
Long An,5.5,1/24/2022,1/30/2022
Long An,6.8,1/31/2022,2/6/2022
Long An,6.98,2/7/2022,2/13/2022
Long An,6.78,2/14/2022,2/20/2022
Long An,6.45,2/21/2022,2/27/2022
Long An,6.35,2/28/2022,3/6/2022
Long An,6.12,3/7/2022,3/13/2022
Long An,6.23,3/14/2022,3/20/2022
Long An,6.12,3/21/2022,3/27/2022
Long An,6.15,3/28/2022,4/3/2022
Long An,6.01,4/4/2022,4/10/2022
Long An,5.78,4/11/2022,4/17/2022
Long An,4.89,4/18/2022,4/24/2022
