province,avg_salinity,date_start,day_end
Soc Trang,7.39,12/28/2020,1/3/2021
Soc Trang,11.32,1/4/2021,1/10/2021
Soc Trang,9.97,1/11/2021,1/17/2021
Soc Trang,12.07,1/18/2021,1/24/2021
Soc Trang,12.06,1/25/2021,1/31/2021
Soc Trang,13.7,2/1/2021,2/7/2021
Soc Trang,14.09,2/8/2021,2/14/2021
Soc Trang,14.61,2/15/2021,2/21/2021
Soc Trang,16.05,2/22/2021,2/28/2021
Soc Trang,13.25,3/1/2021,3/7/2021
Soc Trang,14.09,3/8/2021,3/14/2021
Soc Trang,15.04,3/15/2021,3/21/2021
Soc Trang,13.85,3/22/2021,3/28/2021
Soc Trang,13.94,3/29/2021,4/4/2021
Soc Trang,11.53,4/12/2021,4/18/2021
Soc Trang,11.04,4/19/2021,4/25/2021
Soc Trang,10.6,4/26/2021,5/2/2021
Soc Trang,9.59,5/3/2021,5/9/2021
Soc Trang,9.55,5/10/2021,5/16/2021
Soc Trang,8.95,5/17/2021,5/23/2021
Soc Trang,8.83,5/24/2021,5/30/2021
Soc Trang,6.96,5/31/2021,6/6/2021
Soc Trang,10.47,6/7/2021,6/13/2021
Soc Trang,7.57,6/14/2021,6/20/2021
Soc Trang,6.03,6/21/2021,6/27/2021
Soc Trang,7.48,6/28/2021,7/4/2021
Soc Trang,6.81,7/5/2021,7/11/2021
Soc Trang,5.93,7/12/2021,7/18/2021
Soc Trang,4.77,7/19/2021,7/25/2021
Soc Trang,5.01,7/26/2021,8/1/2021
Soc Trang,4.795,8/2/2021,8/8/2021
Soc Trang,2.77,8/9/2021,8/15/2021
Soc Trang,3.8,8/16/2021,8/22/2021
Soc Trang,2.66,8/23/2021,8/29/2021
Soc Trang,3.07,8/30/2021,9/5/2021
Soc Trang,3.02,9/6/2021,9/12/2021
Soc Trang,2.4,9/13/2021,9/19/2021
Soc Trang,1.05,9/20/2021,9/26/2021
Soc Trang,1.54,9/27/2021,10/3/2021
Soc Trang,0.87,10/4/2021,10/10/2021
Soc Trang,0.61,10/11/2021,10/17/2021
Soc Trang,0.49,10/18/2021,10/24/2021
Soc Trang,0.2,10/25/2021,10/31/2021
Soc Trang,0.06,11/1/2021,11/7/2021
Soc Trang,0.49,11/8/2021,11/14/2021
Soc Trang,2.808,11/15/2021,11/21/2021
Soc Trang,2.94,11/22/2021,11/28/2021
Soc Trang,4.31,11/29/2021,12/5/2021
Soc Trang,5.44,12/6/2021,12/12/2021
Soc Trang,4.91,12/13/2021,12/19/2021
Soc Trang,5.67,12/20/2021,12/26/2021
Soc Trang,5.37,12/27/2021,1/2/2022
Soc Trang,6.9,1/3/2022,1/9/2022
Soc Trang,10.73,1/10/2022,1/16/2022
Soc Trang,10.56,1/17/2022,1/23/2022
Soc Trang,11.98,1/24/2022,1/30/2022
Soc Trang,12.2,1/31/2022,2/6/2022
Soc Trang,13.56,2/7/2022,2/13/2022
Soc Trang,14.78,2/14/2022,2/20/2022
