province,avg_salinity,date_start,day_end
Ben Tre,9.67,12/28/2020,1/3/2021
Ben Tre,9.19,1/4/2021,1/10/2021
Ben Tre,14.77,1/11/2021,1/17/2021
Ben Tre,20.46,1/18/2021,1/24/2021
Ben Tre,19.6,1/25/2021,1/31/2021
Ben Tre,20.08,2/1/2021,2/7/2021
Ben Tre,17,2/8/2021,2/14/2021
Ben Tre,18.26,2/15/2021,2/21/2021
Ben Tre,20.28,2/22/2021,2/28/2021
Ben Tre,20.92,3/1/2021,3/7/2021
Ben Tre,19.6,3/8/2021,3/14/2021
Ben Tre,19.63,3/15/2021,3/21/2021
Ben Tre,20.96,3/22/2021,3/28/2021
Ben Tre,20.17,3/29/2021,4/4/2021
Ben Tre,18.82,4/12/2021,4/18/2021
Ben Tre,18.36,4/19/2021,4/25/2021
Ben Tre,16.86,4/26/2021,5/2/2021
Ben Tre,17.12,5/3/2021,5/9/2021
Ben Tre,15,5/10/2021,5/16/2021
Ben Tre,14.62,5/17/2021,5/23/2021
Ben Tre,11.84,5/24/2021,5/30/2021
Ben Tre,14.57,5/31/2021,6/6/2021
Ben Tre,12.86,6/7/2021,6/13/2021
Ben Tre,10.43,6/14/2021,6/20/2021
Ben Tre,9.2,6/21/2021,6/27/2021
Ben Tre,6.43,6/28/2021,7/4/2021
Ben Tre,2.24,7/5/2021,7/11/2021
Ben Tre,3.6,7/12/2021,7/18/2021
Ben Tre,3.98,7/19/2021,7/25/2021
Ben Tre,1.37,7/26/2021,8/1/2021
Ben Tre,1.78,8/2/2021,8/8/2021
Ben Tre,1.89,8/9/2021,8/15/2021
Ben Tre,0.53,8/16/2021,8/22/2021
Ben Tre,0.44,8/23/2021,8/29/2021
Ben Tre,0.49,8/30/2021,9/5/2021
Ben Tre,0.27,9/6/2021,9/12/2021
Ben Tre,2.05,9/13/2021,9/19/2021
Ben Tre,0.13,9/20/2021,9/26/2021
Ben Tre,0.14,9/27/2021,10/3/2021
Ben Tre,0.44,10/4/2021,10/10/2021
Ben Tre,0.49,10/11/2021,10/17/2021
Ben Tre,1.25,10/18/2021,10/24/2021
Ben Tre,0.18,10/25/2021,10/31/2021
Ben Tre,0.44,11/1/2021,11/7/2021
Ben Tre,0.52,11/8/2021,11/14/2021
Ben Tre,2.44,11/15/2021,11/21/2021
Ben Tre,1.2,11/22/2021,11/28/2021
Ben Tre,0.35,11/29/2021,12/5/2021
Ben Tre,0.2,12/6/2021,12/12/2021
Ben Tre,1,12/13/2021,12/19/2021
Ben Tre,4,12/20/2021,12/26/2021
Ben Tre,8.07,12/27/2021,1/2/2022
Ben Tre,7.82,1/3/2022,1/9/2022
Ben Tre,10.16,1/10/2022,1/16/2022
Ben Tre,16.55,1/17/2022,1/23/2022
Ben Tre,18.45,1/24/2022,1/30/2022
Ben Tre,19.55,1/31/2022,2/6/2022
Ben Tre,19.53,2/7/2022,2/13/2022
Ben Tre,18.75,2/14/2022,2/20/2022
Ben Tre,19.12,2/21/2022,2/27/2022
Ben Tre,18.86,2/28/2022,3/6/2022
Ben Tre,19.12,3/7/2022,3/13/2022
Ben Tre,18.79,3/14/2022,3/20/2022
Ben Tre,18.56,3/21/2022,3/27/2022
Ben Tre,18.85,3/28/2022,4/3/2022
Ben Tre,18.23,4/4/2022,4/10/2022
Ben Tre,17.89,4/11/2022,4/17/2022
Ben Tre,17.5,4/18/2022,4/24/2022
Ben Tre,16.4,4/25/2022,5/1/2022
Ben Tre,16.23,5/2/2022,5/8/2022
Ben Tre,15.76,5/9/2022,5/15/2022
Ben Tre,14.78,5/16/2022,5/22/2022
Ben Tre,14.19,5/23/2022,5/29/2022
Ben Tre,13.95,5/30/2022,6/5/2022
Ben Tre,11.23,6/6/2022,6/12/2022
Ben Tre,9.78,6/13/2022,6/19/2022
Ben Tre,7.63,6/20/2022,6/26/2022
Ben Tre,5.1,6/27/2022,7/3/2022
Ben Tre,3.5,7/4/2022,7/10/2022
Ben Tre,2.89,7/11/2022,7/17/2022
Ben Tre,1.78,7/18/2022,7/24/2022
Ben Tre,1.4,7/25/2022,7/31/2022
Ben Tre,0.5,8/1/2022,8/7/2022
Ben Tre,0.6,8/8/2022,8/14/2022
Ben Tre,0.6,8/15/2022,8/21/2022
Ben Tre,0.8,8/22/2022,8/28/2022
Ben Tre,0.3,8/29/2022,9/4/2022
Ben Tre,0.4,9/5/2022,9/11/2022
Ben Tre,0.5,9/12/2022,9/18/2022
Ben Tre,0.1,9/19/2022,9/25/2022
Ben Tre,0.4,9/26/2022,10/2/2022
Ben Tre,0.2,10/3/2022,10/9/2022
Ben Tre,0.2,10/10/2022,10/16/2022
Ben Tre,0.3,10/17/2022,10/23/2022
Ben Tre,0.2,10/24/2022,10/30/2022
Ben Tre,0.3,10/31/2022,11/6/2022
Ben Tre,0.3,11/7/2022,11/13/2022
Ben Tre,0.3,11/14/2022,11/20/2022
Ben Tre,0.5,11/21/2022,11/27/2022
