province,avg_salinity,date_start,day_end
Binh Duong,2.07,12/28/2020,1/3/2021
Binh Duong,1.71,1/4/2021,1/10/2021
Binh Duong,1.36,1/11/2021,1/17/2021
Binh Duong,2.52,1/18/2021,1/24/2021
Binh Duong,2.59,1/25/2021,1/31/2021
Binh Duong,1.01,2/1/2021,2/7/2021
Binh Duong,1.46,2/8/2021,2/14/2021
Binh Duong,2.35,2/15/2021,2/21/2021
Binh Duong,2.85,2/22/2021,2/28/2021
Binh Duong,1.87,3/1/2021,3/7/2021
Binh Duong,2.84,3/8/2021,3/14/2021
Binh Duong,2.12,3/15/2021,3/21/2021
Binh Duong,1.44,3/22/2021,3/28/2021
Binh Duong,2.43,3/29/2021,4/4/2021
Binh Duong,2.83,4/12/2021,4/18/2021
Binh Duong,2.78,4/19/2021,4/25/2021
Binh Duong,1.15,4/26/2021,5/2/2021
Binh Duong,1.65,5/3/2021,5/9/2021
Binh Duong,2.72,5/10/2021,5/16/2021
Binh Duong,2.12,5/17/2021,5/23/2021
Binh Duong,1.35,5/24/2021,5/30/2021
Binh Duong,1.18,5/31/2021,6/6/2021
Binh Duong,0.7,6/7/2021,6/13/2021
Binh Duong,0.49,6/14/2021,6/20/2021
Binh Duong,0.66,6/21/2021,6/27/2021
Binh Duong,0.49,6/28/2021,7/4/2021
Binh Duong,0.75,7/5/2021,7/11/2021
Binh Duong,0.23,7/12/2021,7/18/2021
Binh Duong,0.49,7/19/2021,7/25/2021
Binh Duong,0.38,7/26/2021,8/1/2021
Binh Duong,0.43,8/2/2021,8/8/2021
Binh Duong,0.29,8/9/2021,8/15/2021
Binh Duong,0.19,8/16/2021,8/22/2021
Binh Duong,0.27,8/23/2021,8/29/2021
Binh Duong,0.14,8/30/2021,9/5/2021
Binh Duong,0.93,9/6/2021,9/12/2021
Binh Duong,0.86,9/13/2021,9/19/2021
Binh Duong,0.08,9/20/2021,9/26/2021
Binh Duong,0.59,9/27/2021,10/3/2021
Binh Duong,0.12,10/4/2021,10/10/2021
Binh Duong,0.02,10/11/2021,10/17/2021
Binh Duong,0.17,10/18/2021,10/24/2021
Binh Duong,0.4,10/25/2021,10/31/2021
Binh Duong,0.27,11/1/2021,11/7/2021
Binh Duong,0.22,11/8/2021,11/14/2021
Binh Duong,0.36,11/15/2021,11/21/2021
Binh Duong,0.06,11/22/2021,11/28/2021
Binh Duong,0.85,11/29/2021,12/5/2021
Binh Duong,2.89,12/6/2021,12/12/2021
Binh Duong,1.6,12/13/2021,12/19/2021
Binh Duong,2.91,12/20/2021,12/26/2021
Binh Duong,2.34,12/27/2021,1/2/2022
Binh Duong,1.06,1/3/2022,1/9/2022
Binh Duong,2.6,1/10/2022,1/16/2022
Binh Duong,2.14,1/17/2022,1/23/2022
Binh Duong,2.3,1/24/2022,1/30/2022
Binh Duong,1.77,1/31/2022,2/6/2022
Binh Duong,2.01,2/7/2022,2/13/2022
Binh Duong,1.94,2/14/2022,2/20/2022
Binh Duong,1.52,2/21/2022,2/27/2022
Binh Duong,2.4,2/28/2022,3/6/2022
Binh Duong,1.09,3/7/2022,3/13/2022
Binh Duong,1.67,3/14/2022,3/20/2022
Binh Duong,1.8,3/21/2022,3/27/2022
Binh Duong,2.74,3/28/2022,4/3/2022
Binh Duong,2.65,4/4/2022,4/10/2022
Binh Duong,2.04,4/11/2022,4/17/2022
Binh Duong,1.6,4/18/2022,4/24/2022
Binh Duong,1.4,4/25/2022,5/1/2022
Binh Duong,1.13,5/2/2022,5/8/2022
Binh Duong,1.23,5/9/2022,5/15/2022
Binh Duong,2.7,5/16/2022,5/22/2022
Binh Duong,1.56,5/23/2022,5/29/2022
Binh Duong,2.65,5/30/2022,6/5/2022
Binh Duong,0.96,6/6/2022,6/12/2022
Binh Duong,0.75,6/13/2022,6/19/2022
Binh Duong,0.87,6/20/2022,6/26/2022
Binh Duong,0.58,6/27/2022,7/3/2022
Binh Duong,0.37,7/4/2022,7/10/2022
Binh Duong,0.47,7/11/2022,7/17/2022
Binh Duong,0.45,7/18/2022,7/24/2022
Binh Duong,0.47,7/25/2022,7/31/2022
Binh Duong,0.8,8/1/2022,8/7/2022
Binh Duong,0.71,8/8/2022,8/14/2022
Binh Duong,0.53,8/15/2022,8/21/2022
Binh Duong,0.75,8/22/2022,8/28/2022
Binh Duong,0.55,8/29/2022,9/4/2022
Binh Duong,0.51,9/5/2022,9/11/2022
Binh Duong,0.07,9/12/2022,9/18/2022
Binh Duong,0.73,9/19/2022,9/25/2022
Binh Duong,0.47,9/26/2022,10/2/2022
