province,avg_salinity,date_start,day_end
Binh Phuoc,1.96,12/28/2020,1/3/2021
Binh Phuoc,0.28,1/4/2021,1/10/2021
Binh Phuoc,1.46,1/11/2021,1/17/2021
Binh Phuoc,1.81,1/18/2021,1/24/2021
Binh Phuoc,1.99,1/25/2021,1/31/2021
Binh Phuoc,0.77,2/1/2021,2/7/2021
Binh Phuoc,0,2/8/2021,2/14/2021
Binh Phuoc,0.65,2/15/2021,2/21/2021
Binh Phuoc,0.88,2/22/2021,2/28/2021
Binh Phuoc,1.92,3/1/2021,3/7/2021
Binh Phuoc,1.4,3/8/2021,3/14/2021
Binh Phuoc,0.24,3/15/2021,3/21/2021
Binh Phuoc,1.93,3/22/2021,3/28/2021
Binh Phuoc,1.44,3/29/2021,4/4/2021
Binh Phuoc,0.85,4/12/2021,4/18/2021
Binh Phuoc,1.1,4/19/2021,4/25/2021
Binh Phuoc,1.6,4/26/2021,5/2/2021
Binh Phuoc,0.88,5/3/2021,5/9/2021
Binh Phuoc,1.76,5/10/2021,5/16/2021
Binh Phuoc,1.38,5/17/2021,5/23/2021
Binh Phuoc,0.7,5/24/2021,5/30/2021
Binh Phuoc,0.42,5/31/2021,6/6/2021
Binh Phuoc,1.2,6/7/2021,6/13/2021
Binh Phuoc,0.61,6/14/2021,6/20/2021
Binh Phuoc,1.81,6/21/2021,6/27/2021
Binh Phuoc,1.16,6/28/2021,7/4/2021
Binh Phuoc,1.57,7/5/2021,7/11/2021
Binh Phuoc,0.9,7/12/2021,7/18/2021
Binh Phuoc,0.51,7/19/2021,7/25/2021
Binh Phuoc,0.11,7/26/2021,8/1/2021
Binh Phuoc,0.09,8/2/2021,8/8/2021
Binh Phuoc,1.45,8/9/2021,8/15/2021
Binh Phuoc,1.24,8/16/2021,8/22/2021
Binh Phuoc,1.26,8/23/2021,8/29/2021
Binh Phuoc,0.47,8/30/2021,9/5/2021
Binh Phuoc,0.36,9/6/2021,9/12/2021
Binh Phuoc,1.59,9/13/2021,9/19/2021
Binh Phuoc,1.47,9/20/2021,9/26/2021
Binh Phuoc,0.54,9/27/2021,10/3/2021
Binh Phuoc,0.43,10/4/2021,10/10/2021
Binh Phuoc,1,10/11/2021,10/17/2021
Binh Phuoc,0.72,10/18/2021,10/24/2021
Binh Phuoc,0.93,10/25/2021,10/31/2021
Binh Phuoc,0.81,11/1/2021,11/7/2021
Binh Phuoc,0.36,11/8/2021,11/14/2021
Binh Phuoc,1.35,11/15/2021,11/21/2021
Binh Phuoc,1.3,11/22/2021,11/28/2021
Binh Phuoc,0.43,11/29/2021,12/5/2021
Binh Phuoc,1.39,12/6/2021,12/12/2021
Binh Phuoc,0.41,12/13/2021,12/19/2021
Binh Phuoc,1.32,12/20/2021,12/26/2021
Binh Phuoc,0.32,12/27/2021,1/2/2022
Binh Phuoc,1.05,1/3/2022,1/9/2022
Binh Phuoc,1.1,1/10/2022,1/16/2022
Binh Phuoc,1.5,1/17/2022,1/23/2022
Binh Phuoc,0.93,1/24/2022,1/30/2022
Binh Phuoc,1.56,1/31/2022,2/6/2022
Binh Phuoc,1.59,2/7/2022,2/13/2022
Binh Phuoc,0.3,2/14/2022,2/20/2022
Binh Phuoc,0.78,2/21/2022,2/27/2022
Binh Phuoc,1.27,2/28/2022,3/6/2022
Binh Phuoc,1.88,3/7/2022,3/13/2022
Binh Phuoc,1.95,3/14/2022,3/20/2022
Binh Phuoc,0.28,3/21/2022,3/27/2022
Binh Phuoc,1.15,3/28/2022,4/3/2022
Binh Phuoc,0,4/4/2022,4/10/2022
Binh Phuoc,0.12,4/11/2022,4/17/2022
Binh Phuoc,1.24,4/18/2022,4/24/2022
Binh Phuoc,1.33,4/25/2022,5/1/2022
Binh Phuoc,1.64,5/2/2022,5/8/2022
Binh Phuoc,1.85,5/9/2022,5/15/2022
Binh Phuoc,1.43,5/16/2022,5/22/2022
Binh Phuoc,0.26,5/23/2022,5/29/2022
Binh Phuoc,0.33,5/30/2022,6/5/2022
Binh Phuoc,0.51,6/6/2022,6/12/2022
Binh Phuoc,1.86,6/13/2022,6/19/2022
Binh Phuoc,1.98,6/20/2022,6/26/2022
Binh Phuoc,1.86,6/27/2022,7/3/2022
Binh Phuoc,1,7/4/2022,7/10/2022
Binh Phuoc,1.94,7/11/2022,7/17/2022
Binh Phuoc,0.16,7/18/2022,7/24/2022
Binh Phuoc,1.73,7/25/2022,7/31/2022
Binh Phuoc,1.3,8/1/2022,8/7/2022
Binh Phuoc,1.71,8/8/2022,8/14/2022
Binh Phuoc,1.91,8/15/2022,8/21/2022
Binh Phuoc,1.67,8/22/2022,8/28/2022
Binh Phuoc,0.1,8/29/2022,9/4/2022
Binh Phuoc,1.8,9/5/2022,9/11/2022
Binh Phuoc,0.53,9/12/2022,9/18/2022
Binh Phuoc,1.64,9/19/2022,9/25/2022
Binh Phuoc,1.42,9/26/2022,10/2/2022
Binh Phuoc,0.41,10/3/2022,10/9/2022
Binh Phuoc,1.05,10/10/2022,10/16/2022
Binh Phuoc,0.17,10/17/2022,10/23/2022
Binh Phuoc,1.33,10/24/2022,10/30/2022
Binh Phuoc,0.66,10/31/2022,11/6/2022
Binh Phuoc,1.15,11/7/2022,11/13/2022
Binh Phuoc,1.55,11/14/2022,11/20/2022
Binh Phuoc,0.2,11/21/2022,11/27/2022
Binh Phuoc,0.68,11/28/2022,12/4/2022
