province,avg_salinity,date_start,day_end
Dong Nai,0.18,12/28/2020,1/3/2021
Dong Nai,0.62,1/4/2021,1/10/2021
Dong Nai,0.88,1/11/2021,1/17/2021
Dong Nai,0.19,1/18/2021,1/24/2021
Dong Nai,0.48,1/25/2021,1/31/2021
Dong Nai,0.32,2/1/2021,2/7/2021
Dong Nai,0.69,2/8/2021,2/14/2021
Dong Nai,0.35,2/15/2021,2/21/2021
Dong Nai,0.7,2/22/2021,2/28/2021
Dong Nai,0.38,3/1/2021,3/7/2021
Dong Nai,2.07,3/8/2021,3/14/2021
Dong Nai,0.46,3/15/2021,3/21/2021
Dong Nai,0.36,3/22/2021,3/28/2021
Dong Nai,0.36,3/29/2021,4/4/2021
Dong Nai,0.5,4/12/2021,4/18/2021
Dong Nai,0.41,4/19/2021,4/25/2021
Dong Nai,0.09,4/26/2021,5/2/2021
Dong Nai,0.72,5/3/2021,5/9/2021
Dong Nai,0.92,5/10/2021,5/16/2021
Dong Nai,2.25,5/17/2021,5/23/2021
Dong Nai,1.1,5/24/2021,5/30/2021
Dong Nai,0.06,5/31/2021,6/6/2021
Dong Nai,0.27,6/7/2021,6/13/2021
Dong Nai,0.61,6/14/2021,6/20/2021
Dong Nai,1.7,6/21/2021,6/27/2021
Dong Nai,0.19,6/28/2021,7/4/2021
Dong Nai,2.1,7/5/2021,7/11/2021
Dong Nai,0.59,7/12/2021,7/18/2021
Dong Nai,0.44,7/19/2021,7/25/2021
Dong Nai,0.07,7/26/2021,8/1/2021
Dong Nai,1.13,8/2/2021,8/8/2021
Dong Nai,0.45,8/9/2021,8/15/2021
Dong Nai,1.7,8/16/2021,8/22/2021
Dong Nai,2.09,8/23/2021,8/29/2021
Dong Nai,0.31,8/30/2021,9/5/2021
Dong Nai,1.15,9/6/2021,9/12/2021
Dong Nai,0.73,9/13/2021,9/19/2021
Dong Nai,0.36,9/20/2021,9/26/2021
Dong Nai,1.44,9/27/2021,10/3/2021
Dong Nai,0.12,10/4/2021,10/10/2021
Dong Nai,0.72,10/11/2021,10/17/2021
Dong Nai,0.76,10/18/2021,10/24/2021
Dong Nai,1.35,10/25/2021,10/31/2021
Dong Nai,0.91,11/1/2021,11/7/2021
Dong Nai,0.38,11/8/2021,11/14/2021
Dong Nai,0.1,11/15/2021,11/21/2021
Dong Nai,1.18,11/22/2021,11/28/2021
Dong Nai,0.29,11/29/2021,12/5/2021
Dong Nai,1.39,12/6/2021,12/12/2021
Dong Nai,0.42,12/13/2021,12/19/2021
Dong Nai,2.28,12/20/2021,12/26/2021
Dong Nai,1.19,12/27/2021,1/2/2022
Dong Nai,0.25,1/3/2022,1/9/2022
Dong Nai,0.42,1/10/2022,1/16/2022
Dong Nai,0.08,1/17/2022,1/23/2022
Dong Nai,0.56,1/24/2022,1/30/2022
Dong Nai,0.67,1/31/2022,2/6/2022
Dong Nai,1.06,2/7/2022,2/13/2022
Dong Nai,0.42,2/14/2022,2/20/2022
Dong Nai,0.49,2/21/2022,2/27/2022
Dong Nai,0.51,2/28/2022,3/6/2022
Dong Nai,1.37,3/7/2022,3/13/2022
Dong Nai,0.78,3/14/2022,3/20/2022
Dong Nai,0.02,3/21/2022,3/27/2022
Dong Nai,1.3,3/28/2022,4/3/2022
Dong Nai,1.51,4/4/2022,4/10/2022
Dong Nai,0.86,4/11/2022,4/17/2022
Dong Nai,1.68,4/18/2022,4/24/2022
Dong Nai,0.28,4/25/2022,5/1/2022
Dong Nai,0.26,5/2/2022,5/8/2022
Dong Nai,0.23,5/9/2022,5/15/2022
Dong Nai,0.02,5/16/2022,5/22/2022
Dong Nai,0.24,5/23/2022,5/29/2022
Dong Nai,1.58,5/30/2022,6/5/2022
Dong Nai,0.33,6/6/2022,6/12/2022
Dong Nai,0.07,6/13/2022,6/19/2022
Dong Nai,1.74,6/20/2022,6/26/2022
Dong Nai,0.1,6/27/2022,7/3/2022
Dong Nai,0.35,7/4/2022,7/10/2022
