province,avg_salinity,date_start,day_end
Hau Giang,5.74,12/28/2020,1/3/2021
Hau Giang,4.22,1/4/2021,1/10/2021
Hau Giang,6.58,1/11/2021,1/17/2021
Hau Giang,5.9,1/18/2021,1/24/2021
Hau Giang,7.85,1/25/2021,1/31/2021
Hau Giang,6.25,2/1/2021,2/7/2021
Hau Giang,5.12,2/8/2021,2/14/2021
Hau Giang,4.12,2/15/2021,2/21/2021
Hau Giang,5.91,2/22/2021,2/28/2021
Hau Giang,5.79,3/1/2021,3/7/2021
Hau Giang,7.93,3/8/2021,3/14/2021
Hau Giang,7.95,3/15/2021,3/21/2021
Hau Giang,5.63,3/22/2021,3/28/2021
Hau Giang,7,3/29/2021,4/4/2021
Hau Giang,10.3,4/12/2021,4/18/2021
Hau Giang,9.59,4/19/2021,4/25/2021
Hau Giang,11.89,4/26/2021,5/2/2021
Hau Giang,7.81,5/3/2021,5/9/2021
Hau Giang,7.78,5/10/2021,5/16/2021
Hau Giang,6.52,5/17/2021,5/23/2021
Hau Giang,7.7,5/24/2021,5/30/2021
Hau Giang,8.32,5/31/2021,6/6/2021
Hau Giang,4.32,6/7/2021,6/13/2021
Hau Giang,2.53,6/14/2021,6/20/2021
Hau Giang,3.64,6/21/2021,6/27/2021
Hau Giang,4.66,6/28/2021,7/4/2021
Hau Giang,2.75,7/5/2021,7/11/2021
Hau Giang,2.93,7/12/2021,7/18/2021
Hau Giang,2.18,7/19/2021,7/25/2021
Hau Giang,2.45,7/26/2021,8/1/2021
Hau Giang,1.54,8/2/2021,8/8/2021
Hau Giang,2.49,8/9/2021,8/15/2021
Hau Giang,1.88,8/16/2021,8/22/2021
Hau Giang,2.35,8/23/2021,8/29/2021
Hau Giang,2.36,8/30/2021,9/5/2021
Hau Giang,0.04,9/6/2021,9/12/2021
Hau Giang,0.1,9/13/2021,9/19/2021
Hau Giang,0.45,9/20/2021,9/26/2021
Hau Giang,1.14,9/27/2021,10/3/2021
Hau Giang,1.42,10/4/2021,10/10/2021
Hau Giang,1.32,10/11/2021,10/17/2021
Hau Giang,0.62,10/18/2021,10/24/2021
Hau Giang,0.52,10/25/2021,10/31/2021
Hau Giang,0.36,11/1/2021,11/7/2021
Hau Giang,4.79,11/8/2021,11/14/2021
Hau Giang,4.43,11/15/2021,11/21/2021
Hau Giang,5.83,11/22/2021,11/28/2021
Hau Giang,4.59,11/29/2021,12/5/2021
Hau Giang,5.18,12/6/2021,12/12/2021
Hau Giang,6.49,12/13/2021,12/19/2021
Hau Giang,7.19,12/20/2021,12/26/2021
Hau Giang,6.42,12/27/2021,1/2/2022
Hau Giang,7.07,1/3/2022,1/9/2022
Hau Giang,4.94,1/10/2022,1/16/2022
Hau Giang,6.05,1/17/2022,1/23/2022
Hau Giang,6.52,1/24/2022,1/30/2022
Hau Giang,6.34,1/31/2022,2/6/2022
Hau Giang,7.65,2/7/2022,2/13/2022
Hau Giang,5.15,2/14/2022,2/20/2022
Hau Giang,7.1,2/21/2022,2/27/2022
Hau Giang,5.46,2/28/2022,3/6/2022
Hau Giang,5.04,3/7/2022,3/13/2022
Hau Giang,7.59,3/14/2022,3/20/2022
Hau Giang,8.89,3/21/2022,3/27/2022
Hau Giang,9.18,3/28/2022,4/3/2022
Hau Giang,7.83,4/4/2022,4/10/2022
Hau Giang,11.8,4/11/2022,4/17/2022
Hau Giang,6.89,4/18/2022,4/24/2022
Hau Giang,10.71,4/25/2022,5/1/2022
Hau Giang,6.79,5/2/2022,5/8/2022
Hau Giang,9.4,5/9/2022,5/15/2022
Hau Giang,7.86,5/16/2022,5/22/2022
Hau Giang,8.69,5/23/2022,5/29/2022
Hau Giang,7.68,5/30/2022,6/5/2022
Hau Giang,2.64,6/6/2022,6/12/2022
Hau Giang,1.57,6/13/2022,6/19/2022
Hau Giang,2.39,6/20/2022,6/26/2022
Hau Giang,2.84,6/27/2022,7/3/2022
Hau Giang,3.59,7/4/2022,7/10/2022
Hau Giang,1.77,7/11/2022,7/17/2022
Hau Giang,0.82,7/18/2022,7/24/2022
Hau Giang,1.48,7/25/2022,7/31/2022
Hau Giang,3.03,8/1/2022,8/7/2022
Hau Giang,2.31,8/8/2022,8/14/2022
Hau Giang,2.42,8/15/2022,8/21/2022
Hau Giang,3.57,8/22/2022,8/28/2022
Hau Giang,3.32,8/29/2022,9/4/2022
Hau Giang,1.89,9/5/2022,9/11/2022
Hau Giang,1.75,9/12/2022,9/18/2022
Hau Giang,0.19,9/19/2022,9/25/2022
Hau Giang,1.36,9/26/2022,10/2/2022
Hau Giang,0.22,10/3/2022,10/9/2022
Hau Giang,0.44,10/10/2022,10/16/2022
Hau Giang,1.1,10/17/2022,10/23/2022
Hau Giang,0.49,10/24/2022,10/30/2022
Hau Giang,1.19,10/31/2022,11/6/2022
Hau Giang,4.33,11/7/2022,11/13/2022
Hau Giang,3.02,11/14/2022,11/20/2022
Hau Giang,2.34,11/21/2022,11/27/2022
Hau Giang,4.47,11/28/2022,12/4/2022
Hau Giang,7.34,12/5/2022,12/11/2022
Hau Giang,5.01,12/12/2022,12/18/2022
Hau Giang,6.98,12/19/2022,12/25/2022
Hau Giang,6.14,12/26/2022,1/1/2023
Hau Giang,5.59,1/2/2023,1/8/2023
Hau Giang,4.19,1/9/2023,1/15/2023
