province,avg_salinity,date_start,day_end
Ho Chi Minh City,10.67,12/28/2020,1/3/2021
Ho Chi Minh City,10.22,1/4/2021,1/10/2021
Ho Chi Minh City,9.05,1/11/2021,1/17/2021
Ho Chi Minh City,9.5,1/18/2021,1/24/2021
Ho Chi Minh City,10.39,1/25/2021,1/31/2021
Ho Chi Minh City,10.59,2/1/2021,2/7/2021
Ho Chi Minh City,14.85,2/8/2021,2/14/2021
Ho Chi Minh City,14.48,2/15/2021,2/21/2021
Ho Chi Minh City,14.53,2/22/2021,2/28/2021
Ho Chi Minh City,14.57,3/1/2021,3/7/2021
Ho Chi Minh City,13.4,3/8/2021,3/14/2021
Ho Chi Minh City,12.78,3/15/2021,3/21/2021
Ho Chi Minh City,11.27,3/22/2021,3/28/2021
Ho Chi Minh City,10.96,3/29/2021,4/4/2021
Ho Chi Minh City,12.66,4/12/2021,4/18/2021
Ho Chi Minh City,11.92,4/19/2021,4/25/2021
Ho Chi Minh City,10.54,4/26/2021,5/2/2021
Ho Chi Minh City,9.18,5/3/2021,5/9/2021
Ho Chi Minh City,8.3,5/10/2021,5/16/2021
Ho Chi Minh City,7.71,5/17/2021,5/23/2021
Ho Chi Minh City,6.71,5/24/2021,5/30/2021
Ho Chi Minh City,8.28,5/31/2021,6/6/2021
Ho Chi Minh City,5.28,6/7/2021,6/13/2021
Ho Chi Minh City,6.09,6/14/2021,6/20/2021
Ho Chi Minh City,4.82,6/21/2021,6/27/2021
Ho Chi Minh City,8.29,6/28/2021,7/4/2021
Ho Chi Minh City,4.05,7/5/2021,7/11/2021
Ho Chi Minh City,5.52,7/12/2021,7/18/2021
Ho Chi Minh City,4.58,7/19/2021,7/25/2021
Ho Chi Minh City,5.75,7/26/2021,8/1/2021
Ho Chi Minh City,2.91,8/2/2021,8/8/2021
Ho Chi Minh City,0.33,8/9/2021,8/15/2021
Ho Chi Minh City,0.39,8/16/2021,8/22/2021
Ho Chi Minh City,1.81,8/23/2021,8/29/2021
Ho Chi Minh City,1.68,8/30/2021,9/5/2021
Ho Chi Minh City,4.66,9/6/2021,9/12/2021
Ho Chi Minh City,0.42,9/13/2021,9/19/2021
Ho Chi Minh City,0.23,9/20/2021,9/26/2021
Ho Chi Minh City,1.05,9/27/2021,10/3/2021
Ho Chi Minh City,1.33,10/4/2021,10/10/2021
Ho Chi Minh City,0.2,10/11/2021,10/17/2021
Ho Chi Minh City,0.34,10/18/2021,10/24/2021
Ho Chi Minh City,0.18,10/25/2021,10/31/2021
Ho Chi Minh City,1.61,11/1/2021,11/7/2021
Ho Chi Minh City,2.67,11/8/2021,11/14/2021
Ho Chi Minh City,0.74,11/15/2021,11/21/2021
Ho Chi Minh City,0.67,11/22/2021,11/28/2021
Ho Chi Minh City,1.54,11/29/2021,12/5/2021
Ho Chi Minh City,0.07,12/6/2021,12/12/2021
Ho Chi Minh City,0.78,12/13/2021,12/19/2021
Ho Chi Minh City,1.34,12/20/2021,12/26/2021
Ho Chi Minh City,6.01,12/27/2021,1/2/2022
Ho Chi Minh City,10.36,1/3/2022,1/9/2022
Ho Chi Minh City,10.46,1/10/2022,1/16/2022
Ho Chi Minh City,10.5,1/17/2022,1/23/2022
Ho Chi Minh City,10.6,1/24/2022,1/30/2022
Ho Chi Minh City,10.46,1/31/2022,2/6/2022
Ho Chi Minh City,11.23,2/7/2022,2/13/2022
Ho Chi Minh City,13.78,2/14/2022,2/20/2022
Ho Chi Minh City,14.15,2/21/2022,2/27/2022
Ho Chi Minh City,14.6,2/28/2022,3/6/2022
Ho Chi Minh City,14.23,3/7/2022,3/13/2022
Ho Chi Minh City,14.12,3/14/2022,3/20/2022
Ho Chi Minh City,13.78,3/21/2022,3/27/2022
Ho Chi Minh City,12.26,3/28/2022,4/3/2022
Ho Chi Minh City,12.15,4/4/2022,4/10/2022
Ho Chi Minh City,11.59,4/11/2022,4/17/2022
Ho Chi Minh City,10.78,4/18/2022,4/24/2022
Ho Chi Minh City,9.96,4/25/2022,5/1/2022
Ho Chi Minh City,9.12,5/2/2022,5/8/2022
Ho Chi Minh City,8.78,5/9/2022,5/15/2022
Ho Chi Minh City,8.56,5/16/2022,5/22/2022
Ho Chi Minh City,7.92,5/23/2022,5/29/2022
Ho Chi Minh City,7.56,5/30/2022,6/5/2022
Ho Chi Minh City,6.72,6/6/2022,6/12/2022
Ho Chi Minh City,7.39,6/13/2022,6/19/2022
Ho Chi Minh City,6.22,6/20/2022,6/26/2022
Ho Chi Minh City,7.93,6/27/2022,7/3/2022
Ho Chi Minh City,2.68,7/4/2022,7/10/2022
Ho Chi Minh City,6.28,7/11/2022,7/17/2022
Ho Chi Minh City,3.68,7/18/2022,7/24/2022
Ho Chi Minh City,4.27,7/25/2022,7/31/2022
Ho Chi Minh City,2.38,8/1/2022,8/7/2022
Ho Chi Minh City,0.3,8/8/2022,8/14/2022
Ho Chi Minh City,0.33,8/15/2022,8/21/2022
Ho Chi Minh City,3.05,8/22/2022,8/28/2022
Ho Chi Minh City,3.04,8/29/2022,9/4/2022
Ho Chi Minh City,3.58,9/5/2022,9/11/2022
Ho Chi Minh City,0.64,9/12/2022,9/18/2022
Ho Chi Minh City,0.13,9/19/2022,9/25/2022
Ho Chi Minh City,0.23,9/26/2022,10/2/2022
Ho Chi Minh City,0.89,10/3/2022,10/9/2022
Ho Chi Minh City,0.15,10/10/2022,10/16/2022
Ho Chi Minh City,0.79,10/17/2022,10/23/2022
Ho Chi Minh City,0.25,10/24/2022,10/30/2022
Ho Chi Minh City,3.01,10/31/2022,11/6/2022
Ho Chi Minh City,2.64,11/7/2022,11/13/2022
Ho Chi Minh City,0.43,11/14/2022,11/20/2022
Ho Chi Minh City,0.43,11/21/2022,11/27/2022
Ho Chi Minh City,1.44,11/28/2022,12/4/2022
Ho Chi Minh City,0.61,12/5/2022,12/11/2022
Ho Chi Minh City,0.22,12/12/2022,12/18/2022
Ho Chi Minh City,0.81,12/19/2022,12/25/2022
Ho Chi Minh City,5.06,12/26/2022,1/1/2023
Ho Chi Minh City,10.72,1/2/2023,1/8/2023
Ho Chi Minh City,10.75,1/9/2023,1/15/2023
Ho Chi Minh City,10.78,1/16/2023,1/22/2023
Ho Chi Minh City,10.21,1/23/2023,1/29/2023
Ho Chi Minh City,9.83,1/30/2023,2/5/2023
Ho Chi Minh City,10.65,2/6/2023,2/12/2023
Ho Chi Minh City,15.12,2/13/2023,2/19/2023
Ho Chi Minh City,13.59,2/20/2023,2/26/2023
Ho Chi Minh City,15.02,2/27/2023,3/5/2023
Ho Chi Minh City,13.25,3/6/2023,3/12/2023
Ho Chi Minh City,13.57,3/13/2023,3/19/2023
Ho Chi Minh City,14.07,3/20/2023,3/26/2023
Ho Chi Minh City,11.15,3/27/2023,4/2/2023
Ho Chi Minh City,13.3,4/3/2023,4/9/2023
Ho Chi Minh City,12.3,4/10/2023,4/16/2023
Ho Chi Minh City,10.25,4/17/2023,4/23/2023
Ho Chi Minh City,10.83,4/24/2023,4/30/2023
Ho Chi Minh City,7.89,5/1/2023,5/7/2023
Ho Chi Minh City,8.98,5/8/2023,5/14/2023
Ho Chi Minh City,7.98,5/15/2023,5/21/2023
Ho Chi Minh City,7.34,5/22/2023,5/28/2023
Ho Chi Minh City,6.86,5/29/2023,6/4/2023
Ho Chi Minh City,5.45,6/5/2023,6/11/2023
Ho Chi Minh City,6.22,6/12/2023,6/18/2023
Ho Chi Minh City,6.04,6/19/2023,6/25/2023
Ho Chi Minh City,6.45,6/26/2023,7/2/2023
Ho Chi Minh City,2.76,7/3/2023,7/9/2023
Ho Chi Minh City,5.12,7/10/2023,7/16/2023
Ho Chi Minh City,2.38,7/17/2023,7/23/2023
Ho Chi Minh City,3.98,7/24/2023,7/30/2023
