province,avg_salinity,date_start,day_end
Tien Giang,1.63,12/28/2020,1/3/2021
Tien Giang,0.65,1/4/2021,1/10/2021
Tien Giang,1.24,1/11/2021,1/17/2021
Tien Giang,0.55,1/18/2021,1/24/2021
Tien Giang,0.87,1/25/2021,1/31/2021
Tien Giang,0.04,2/1/2021,2/7/2021
Tien Giang,0.08,2/8/2021,2/14/2021
Tien Giang,0.83,2/15/2021,2/21/2021
Tien Giang,0.5,2/22/2021,2/28/2021
Tien Giang,1.64,3/1/2021,3/7/2021
Tien Giang,1.79,3/8/2021,3/14/2021
Tien Giang,0.96,3/15/2021,3/21/2021
Tien Giang,0.41,3/22/2021,3/28/2021
Tien Giang,1.4,3/29/2021,4/4/2021
Tien Giang,0.52,4/12/2021,4/18/2021
Tien Giang,0.83,4/19/2021,4/25/2021
Tien Giang,1.6,4/26/2021,5/2/2021
Tien Giang,1.88,5/3/2021,5/9/2021
Tien Giang,0.38,5/10/2021,5/16/2021
Tien Giang,0.66,5/17/2021,5/23/2021
Tien Giang,1.17,5/24/2021,5/30/2021
Tien Giang,1.27,5/31/2021,6/6/2021
Tien Giang,0.39,6/7/2021,6/13/2021
Tien Giang,1.22,6/14/2021,6/20/2021
Tien Giang,0.53,6/21/2021,6/27/2021
Tien Giang,0.96,6/28/2021,7/4/2021
Tien Giang,0.75,7/5/2021,7/11/2021
Tien Giang,0.33,7/12/2021,7/18/2021
Tien Giang,0.23,7/19/2021,7/25/2021
Tien Giang,1.35,7/26/2021,8/1/2021
Tien Giang,1.83,8/2/2021,8/8/2021
Tien Giang,1.45,8/9/2021,8/15/2021
Tien Giang,0.92,8/16/2021,8/22/2021
Tien Giang,0.27,8/23/2021,8/29/2021
Tien Giang,0.01,8/30/2021,9/5/2021
Tien Giang,1.14,9/6/2021,9/12/2021
Tien Giang,1.43,9/13/2021,9/19/2021
Tien Giang,1.63,9/20/2021,9/26/2021
Tien Giang,0.94,9/27/2021,10/3/2021
Tien Giang,0.9,10/4/2021,10/10/2021
Tien Giang,0.56,10/11/2021,10/17/2021
Tien Giang,0.5,10/18/2021,10/24/2021
Tien Giang,0.02,10/25/2021,10/31/2021
Tien Giang,1.34,11/1/2021,11/7/2021
Tien Giang,1.61,11/8/2021,11/14/2021
Tien Giang,0.78,11/15/2021,11/21/2021
Tien Giang,0.61,11/22/2021,11/28/2021
Tien Giang,1.59,11/29/2021,12/5/2021
Tien Giang,0.95,12/6/2021,12/12/2021
Tien Giang,0.39,12/13/2021,12/19/2021
Tien Giang,0.2,12/20/2021,12/26/2021
Tien Giang,0.78,12/27/2021,1/2/2022
Tien Giang,1.2,1/3/2022,1/9/2022
Tien Giang,0.58,1/10/2022,1/16/2022
Tien Giang,1.23,1/17/2022,1/23/2022
Tien Giang,1.83,1/24/2022,1/30/2022
Tien Giang,0.11,1/31/2022,2/6/2022
Tien Giang,1.73,2/7/2022,2/13/2022
Tien Giang,1.86,2/14/2022,2/20/2022
Tien Giang,0.24,2/21/2022,2/27/2022
Tien Giang,0.98,2/28/2022,3/6/2022
Tien Giang,0.54,3/7/2022,3/13/2022
Tien Giang,1.43,3/14/2022,3/20/2022
Tien Giang,0.32,3/21/2022,3/27/2022
Tien Giang,0.28,3/28/2022,4/3/2022
Tien Giang,0.9,4/4/2022,4/10/2022
Tien Giang,1.94,4/11/2022,4/17/2022
Tien Giang,0.14,4/18/2022,4/24/2022
Tien Giang,0.31,4/25/2022,5/1/2022
Tien Giang,0.11,5/2/2022,5/8/2022
Tien Giang,0.05,5/9/2022,5/15/2022
Tien Giang,0.32,5/16/2022,5/22/2022
Tien Giang,1.75,5/23/2022,5/29/2022
Tien Giang,0.21,5/30/2022,6/5/2022
Tien Giang,1.72,6/6/2022,6/12/2022
Tien Giang,1.75,6/13/2022,6/19/2022
