province,avg_salinity,date_start,day_end
Tien Giang,7.96,12/28/2020,1/3/2021
Tien Giang,9.75,1/4/2021,1/10/2021
Tien Giang,9.15,1/11/2021,1/17/2021
Tien Giang,8.09,1/18/2021,1/24/2021
Tien Giang,11.51,1/25/2021,1/31/2021
Tien Giang,10.25,2/1/2021,2/7/2021
Tien Giang,11.73,2/8/2021,2/14/2021
Tien Giang,14.28,2/15/2021,2/21/2021
Tien Giang,16.36,2/22/2021,2/28/2021
Tien Giang,14.65,3/1/2021,3/7/2021
Tien Giang,15.25,3/8/2021,3/14/2021
Tien Giang,15.34,3/15/2021,3/21/2021
Tien Giang,15.18,3/22/2021,3/28/2021
Tien Giang,15.21,3/29/2021,4/4/2021
Tien Giang,13.2,4/12/2021,4/18/2021
Tien Giang,14.45,4/19/2021,4/25/2021
Tien Giang,14.75,4/26/2021,5/2/2021
Tien Giang,12.33,5/3/2021,5/9/2021
Tien Giang,14.05,5/10/2021,5/16/2021
Tien Giang,12.85,5/17/2021,5/23/2021
Tien Giang,9.46,5/24/2021,5/30/2021
Tien Giang,6.91,5/31/2021,6/6/2021
Tien Giang,5.53,6/7/2021,6/13/2021
Tien Giang,6.64,6/14/2021,6/20/2021
Tien Giang,3.61,6/21/2021,6/27/2021
Tien Giang,3.84,6/28/2021,7/4/2021
Tien Giang,3.84,7/5/2021,7/11/2021
Tien Giang,5.14,7/12/2021,7/18/2021
Tien Giang,2.36,7/19/2021,7/25/2021
Tien Giang,4.33,7/26/2021,8/1/2021
Tien Giang,5.03,8/2/2021,8/8/2021
Tien Giang,4.03,8/9/2021,8/15/2021
Tien Giang,3.7,8/16/2021,8/22/2021
Tien Giang,4.01,8/23/2021,8/29/2021
Tien Giang,0.94,8/30/2021,9/5/2021
Tien Giang,0.53,9/6/2021,9/12/2021
Tien Giang,0.7,9/13/2021,9/19/2021
Tien Giang,2.26,9/20/2021,9/26/2021
Tien Giang,0.37,9/27/2021,10/3/2021
Tien Giang,0.64,10/4/2021,10/10/2021
Tien Giang,1.13,10/11/2021,10/17/2021
Tien Giang,0.05,10/18/2021,10/24/2021
Tien Giang,0.59,10/25/2021,10/31/2021
Tien Giang,1.1,11/1/2021,11/7/2021
Tien Giang,2.74,11/8/2021,11/14/2021
Tien Giang,2.65,11/15/2021,11/21/2021
Tien Giang,3.59,11/22/2021,11/28/2021
Tien Giang,2.09,11/29/2021,12/5/2021
Tien Giang,3.29,12/6/2021,12/12/2021
Tien Giang,6.64,12/13/2021,12/19/2021
Tien Giang,6.5,12/20/2021,12/26/2021
Tien Giang,8.9,12/27/2021,1/2/2022
Tien Giang,9.1,1/3/2022,1/9/2022
Tien Giang,8.55,1/10/2022,1/16/2022
Tien Giang,9.2,1/17/2022,1/23/2022
Tien Giang,9.55,1/24/2022,1/30/2022
Tien Giang,10.7,1/31/2022,2/6/2022
Tien Giang,11.23,2/7/2022,2/13/2022
Tien Giang,12.78,2/14/2022,2/20/2022
Tien Giang,14.89,2/21/2022,2/27/2022
Tien Giang,15.05,2/28/2022,3/6/2022
Tien Giang,14.75,3/7/2022,3/13/2022
Tien Giang,14.65,3/14/2022,3/20/2022
Tien Giang,14.42,3/21/2022,3/27/2022
Tien Giang,14.2,3/28/2022,4/3/2022
Tien Giang,14.2,4/4/2022,4/10/2022
Tien Giang,14.01,4/11/2022,4/17/2022
Tien Giang,13.56,4/18/2022,4/24/2022
Tien Giang,13.85,4/25/2022,5/1/2022
Tien Giang,13.23,5/2/2022,5/8/2022
Tien Giang,13.01,5/9/2022,5/15/2022
Tien Giang,11.45,5/16/2022,5/22/2022
Tien Giang,8.17,5/23/2022,5/29/2022
Tien Giang,6.65,5/30/2022,6/5/2022
Tien Giang,6.85,6/6/2022,6/12/2022
Tien Giang,5.78,6/13/2022,6/19/2022
Tien Giang,2.45,6/20/2022,6/26/2022
Tien Giang,4.78,6/27/2022,7/3/2022
Tien Giang,5.2,7/4/2022,7/10/2022
Tien Giang,4.78,7/11/2022,7/17/2022
Tien Giang,3.02,7/18/2022,7/24/2022
Tien Giang,3.12,7/25/2022,7/31/2022
Tien Giang,4.78,8/1/2022,8/7/2022
Tien Giang,3.26,8/8/2022,8/14/2022
Tien Giang,3.65,8/15/2022,8/21/2022
Tien Giang,2.96,8/22/2022,8/28/2022
Tien Giang,1.23,8/29/2022,9/4/2022
Tien Giang,0.13,9/5/2022,9/11/2022
Tien Giang,0.98,9/12/2022,9/18/2022
Tien Giang,0.78,9/19/2022,9/25/2022
Tien Giang,0.36,9/26/2022,10/2/2022
Tien Giang,0.56,10/3/2022,10/9/2022
Tien Giang,0.99,10/10/2022,10/16/2022
Tien Giang,0.32,10/17/2022,10/23/2022
Tien Giang,0.45,10/24/2022,10/30/2022
Tien Giang,0.32,10/31/2022,11/6/2022
Tien Giang,1.67,11/7/2022,11/13/2022
Tien Giang,1.56,11/14/2022,11/20/2022
Tien Giang,3.78,11/21/2022,11/27/2022
Tien Giang,2.3,11/28/2022,12/4/2022
Tien Giang,4.76,12/5/2022,12/11/2022
Tien Giang,7.56,12/12/2022,12/18/2022
Tien Giang,5.96,12/19/2022,12/25/2022
Tien Giang,8.63,12/26/2022,1/1/2023
Tien Giang,8.26,1/2/2023,1/8/2023
Tien Giang,7.08,1/9/2023,1/15/2023
Tien Giang,9.56,1/16/2023,1/22/2023
