province,avg_salinity,date_start,day_end
Tra Vinh,13.09,12/28/2020,1/3/2021
Tra Vinh,13.64,1/4/2021,1/10/2021
Tra Vinh,14.01,1/11/2021,1/17/2021
Tra Vinh,14.54,1/18/2021,1/24/2021
Tra Vinh,16.23,1/25/2021,1/31/2021
Tra Vinh,15.97,2/1/2021,2/7/2021
Tra Vinh,15.06,2/8/2021,2/14/2021
Tra Vinh,16.3,2/15/2021,2/21/2021
Tra Vinh,17.56,2/22/2021,2/28/2021
Tra Vinh,15.03,3/1/2021,3/7/2021
Tra Vinh,17.03,3/8/2021,3/14/2021
Tra Vinh,13.81,3/15/2021,3/21/2021
Tra Vinh,15.275,3/22/2021,3/28/2021
Tra Vinh,13.39,3/29/2021,4/4/2021
Tra Vinh,14.31,4/12/2021,4/18/2021
Tra Vinh,11.69,4/19/2021,4/25/2021
Tra Vinh,13.79,4/26/2021,5/2/2021
Tra Vinh,13.57,5/3/2021,5/9/2021
Tra Vinh,10.28,5/10/2021,5/16/2021
Tra Vinh,10.96,5/17/2021,5/23/2021
Tra Vinh,9.69,5/24/2021,5/30/2021
Tra Vinh,9.63,5/31/2021,6/6/2021
Tra Vinh,6.26,6/7/2021,6/13/2021
Tra Vinh,7.46,6/14/2021,6/20/2021
Tra Vinh,5.1,6/21/2021,6/27/2021
Tra Vinh,4.55,6/28/2021,7/4/2021
Tra Vinh,4.46,7/5/2021,7/11/2021
Tra Vinh,3.24,7/12/2021,7/18/2021
Tra Vinh,5.89,7/19/2021,7/25/2021
Tra Vinh,3.96,7/26/2021,8/1/2021
Tra Vinh,3.02,8/2/2021,8/8/2021
Tra Vinh,3.25,8/9/2021,8/15/2021
Tra Vinh,2.47,8/16/2021,8/22/2021
Tra Vinh,4.03,8/23/2021,8/29/2021
Tra Vinh,4.82,8/30/2021,9/5/2021
Tra Vinh,1.14,9/6/2021,9/12/2021
Tra Vinh,2.83,9/13/2021,9/19/2021
Tra Vinh,0.43,9/20/2021,9/26/2021
Tra Vinh,0.71,9/27/2021,10/3/2021
Tra Vinh,0,10/4/2021,10/10/2021
Tra Vinh,1.64,10/11/2021,10/17/2021
Tra Vinh,0.86,10/18/2021,10/24/2021
Tra Vinh,0.37,10/25/2021,10/31/2021
Tra Vinh,1.33,11/1/2021,11/7/2021
Tra Vinh,1.72,11/8/2021,11/14/2021
Tra Vinh,0.16,11/15/2021,11/21/2021
Tra Vinh,4.41,11/22/2021,11/28/2021
Tra Vinh,3.05,11/29/2021,12/5/2021
Tra Vinh,7.06,12/6/2021,12/12/2021
Tra Vinh,8.7,12/13/2021,12/19/2021
Tra Vinh,6.81,12/20/2021,12/26/2021
Tra Vinh,6.83,12/27/2021,1/2/2022
Tra Vinh,12.75,1/3/2022,1/9/2022
Tra Vinh,13.8,1/10/2022,1/16/2022
Tra Vinh,14.25,1/17/2022,1/23/2022
Tra Vinh,14.9,1/24/2022,1/30/2022
Tra Vinh,15.3,1/31/2022,2/6/2022
