province,avg_salinity,date_start,day_end
Vinh Long,6.89,12/28/2020,1/3/2021
Vinh Long,5.79,1/4/2021,1/10/2021
Vinh Long,5.77,1/11/2021,1/17/2021
Vinh Long,5.64,1/18/2021,1/24/2021
Vinh Long,5.8,1/25/2021,1/31/2021
Vinh Long,7.11,2/1/2021,2/7/2021
Vinh Long,5.15,2/8/2021,2/14/2021
Vinh Long,5.16,2/15/2021,2/21/2021
Vinh Long,6.26,2/22/2021,2/28/2021
Vinh Long,6.41,3/1/2021,3/7/2021
Vinh Long,6.89,3/8/2021,3/14/2021
Vinh Long,6.23,3/15/2021,3/21/2021
Vinh Long,4.83,3/22/2021,3/28/2021
Vinh Long,5.23,3/29/2021,4/4/2021
Vinh Long,4.84,4/12/2021,4/18/2021
Vinh Long,4.34,4/19/2021,4/25/2021
Vinh Long,4.64,4/26/2021,5/2/2021
Vinh Long,4.23,5/3/2021,5/9/2021
Vinh Long,4.76,5/10/2021,5/16/2021
Vinh Long,5.39,5/17/2021,5/23/2021
Vinh Long,2.64,5/24/2021,5/30/2021
Vinh Long,2.62,5/31/2021,6/6/2021
Vinh Long,5.08,6/7/2021,6/13/2021
Vinh Long,4.8,6/14/2021,6/20/2021
Vinh Long,2.02,6/21/2021,6/27/2021
Vinh Long,3.71,6/28/2021,7/4/2021
Vinh Long,3.42,7/5/2021,7/11/2021
Vinh Long,4.04,7/12/2021,7/18/2021
Vinh Long,5.29,7/19/2021,7/25/2021
Vinh Long,4.36,7/26/2021,8/1/2021
Vinh Long,3.65,8/2/2021,8/8/2021
Vinh Long,1.95,8/9/2021,8/15/2021
Vinh Long,1.49,8/16/2021,8/22/2021
Vinh Long,4.41,8/23/2021,8/29/2021
Vinh Long,3.67,8/30/2021,9/5/2021
Vinh Long,0.57,9/6/2021,9/12/2021
Vinh Long,0.15,9/13/2021,9/19/2021
Vinh Long,0.06,9/20/2021,9/26/2021
Vinh Long,0.42,9/27/2021,10/3/2021
Vinh Long,1.31,10/4/2021,10/10/2021
Vinh Long,0.41,10/11/2021,10/17/2021
Vinh Long,0.69,10/18/2021,10/24/2021
Vinh Long,0.11,10/25/2021,10/31/2021
Vinh Long,0.08,11/1/2021,11/7/2021
Vinh Long,5.49,11/8/2021,11/14/2021
Vinh Long,0.88,11/15/2021,11/21/2021
Vinh Long,3.84,11/22/2021,11/28/2021
Vinh Long,3.34,11/29/2021,12/5/2021
Vinh Long,6.36,12/6/2021,12/12/2021
Vinh Long,5.52,12/13/2021,12/19/2021
Vinh Long,4.79,12/20/2021,12/26/2021
Vinh Long,5.35,12/27/2021,1/2/2022
