province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
An Giang,31,22,2.1,78,29,Rain,1/1/2020
An Giang,32,23,6.7,75,37,Drizzle,1/2/2020
An Giang,31,23,0.1,75,47,Rain,1/3/2020
An Giang,31,22,4.7,75,54,Rain,1/4/2020
An Giang,31,24,2.7,79,27,Rain,1/5/2020
An Giang,31,23,5.2,77,56,Drizzle,1/6/2020
An Giang,30,23,0.9,78,38,Rain,1/7/2020
An Giang,32,23,0.0,74,22,Sunny,1/8/2020
An Giang,32,24,0.0,75,16,Sunny,1/9/2020
An Giang,32,23,8.6,77,34,Drizzle,1/10/2020
An Giang,31,23,1.6,77,30,Rain,1/11/2020
An Giang,32,23,8.1,80,38,Drizzle,1/12/2020
An Giang,32,23,11.8,80,35,Drizzle,1/13/2020
An Giang,32,24,5.4,79,32,Drizzle,1/14/2020
An Giang,32,24,1.7,79,31,Rain,1/15/2020
An Giang,33,25,0.3,71,24,Rain,1/16/2020
An Giang,33,24,0.7,75,24,Rain,1/17/2020
An Giang,33,25,7.6,70,37,Drizzle,1/18/2020
An Giang,33,25,9.5,75,38,Drizzle,1/19/2020
An Giang,30,24,5.8,79,39,Drizzle,1/20/2020
An Giang,27,24,12.7,89,61,Drizzle,1/21/2020
An Giang,29,23,5.1,84,77,Drizzle,1/22/2020
An Giang,29,23,6.9,87,65,Drizzle,1/23/2020
An Giang,31,23,0.1,79,39,Rain,1/24/2020
An Giang,31,23,0.3,79,30,Rain,1/25/2020
An Giang,31,23,0.4,72,39,Rain,1/26/2020
An Giang,31,23,0.2,73,41,Rain,1/27/2020
An Giang,32,23,0.4,73,31,Rain,1/28/2020
An Giang,30,23,0.1,79,27,Rain,1/29/2020
An Giang,31,24,4.2,76,47,Rain,1/30/2020
An Giang,31,24,2.4,77,59,Rain,1/31/2020
An Giang,32,23,0.9,73,37,Rain,2/1/2020
An Giang,32,23,1.1,76,40,Rain,2/2/2020
An Giang,32,23,0.3,69,38,Rain,2/3/2020
An Giang,33,24,3.7,75,38,Rain,2/4/2020
An Giang,32,23,5.5,78,45,Drizzle,2/5/2020
An Giang,32,23,13.7,77,34,Drizzle,2/6/2020
An Giang,32,23,10.0,79,34,Drizzle,2/7/2020
An Giang,32,23,1.9,76,24,Rain,2/8/2020
An Giang,31,23,1.2,78,29,Rain,2/9/2020
An Giang,32,23,0.2,76,27,Rain,2/10/2020
An Giang,35,22,0.2,75,28,Rain,2/11/2020
An Giang,34,23,0.0,66,7,Sunny,2/12/2020
An Giang,35,22,0.0,70,17,Sunny,2/13/2020
An Giang,33,23,0.0,64,11,Sunny,2/14/2020
An Giang,33,23,0.2,71,13,Rain,2/15/2020
An Giang,33,23,1.9,70,27,Rain,2/16/2020
An Giang,32,23,2.0,73,30,Rain,2/17/2020
An Giang,33,22,0.0,62,13,Sunny,2/18/2020
An Giang,32,22,0.0,67,11,Sunny,2/19/2020
An Giang,32,21,0.0,56,7,Sunny,2/20/2020
An Giang,32,20,0.0,60,9,Sunny,2/21/2020
An Giang,32,20,0.0,55,7,Sunny,2/22/2020
An Giang,32,20,0.0,62,6,Sunny,2/23/2020
An Giang,32,21,0.0,60,13,Sunny,2/24/2020
An Giang,32,21,0.0,65,17,Sunny,2/25/2020
An Giang,32,21,0.0,60,23,Sunny,2/26/2020
An Giang,32,21,0.0,63,29,Sunny,2/27/2020
An Giang,33,21,0.0,56,11,Sunny,2/28/2020
An Giang,32,21,0.0,61,16,Sunny,3/1/2020
An Giang,33,21,0.0,64,24,Sunny,3/2/2020
An Giang,31,22,0.0,68,37,Sunny,3/3/2020
An Giang,33,22,0.0,65,39,Sunny,3/4/2020
An Giang,33,22,0.0,69,45,Sunny,3/5/2020
An Giang,33,23,1.1,66,33,Rain,3/6/2020
An Giang,33,22,1.2,68,48,Rain,3/7/2020
An Giang,33,24,0.8,69,41,Rain,3/8/2020
An Giang,32,23,1.0,71,52,Rain,3/9/2020
An Giang,33,24,12.2,72,46,Drizzle,3/10/2020
An Giang,33,23,11.2,76,48,Drizzle,3/11/2020
An Giang,35,24,3.1,69,39,Rain,3/12/2020
An Giang,35,24,2.2,72,43,Rain,3/13/2020
An Giang,34,25,6.8,70,55,Drizzle,3/14/2020
An Giang,34,24,1.6,70,53,Rain,3/15/2020
An Giang,35,24,0.6,65,36,Rain,3/16/2020
An Giang,35,24,0.1,68,33,Rain,3/17/2020
An Giang,34,25,8.9,67,41,Drizzle,3/18/2020
An Giang,34,24,7.0,69,44,Drizzle,3/19/2020
An Giang,33,25,12.9,72,43,Drizzle,3/20/2020
An Giang,32,24,16.2,75,43,Drizzle,3/21/2020
An Giang,33,24,0.4,67,41,Rain,3/22/2020
An Giang,33,24,0.2,68,38,Rain,3/23/2020
An Giang,35,24,0.0,59,25,Sunny,3/24/2020
An Giang,35,24,0.0,60,30,Sunny,3/25/2020
An Giang,34,25,6.3,63,28,Drizzle,3/26/2020
An Giang,35,24,3.0,63,31,Rain,3/27/2020
An Giang,34,24,5.6,64,24,Drizzle,3/28/2020
An Giang,33,24,4.6,66,32,Rain,3/29/2020
An Giang,35,24,0.6,59,14,Rain,3/30/2020
An Giang,34,23,0.3,60,16,Rain,3/31/2020
An Giang,35,24,0.0,60,12,Sunny,4/1/2020
An Giang,35,23,0.0,62,12,Sunny,4/2/2020
An Giang,35,24,0.0,65,26,Sunny,4/3/2020
An Giang,35,23,0.0,66,24,Sunny,4/4/2020
An Giang,35,25,5.3,65,38,Drizzle,4/5/2020
An Giang,35,24,0.9,63,26,Rain,4/6/2020
An Giang,35,24,0.7,64,30,Rain,4/7/2020
An Giang,36,24,0.1,64,26,Rain,4/8/2020
An Giang,35,23,0.0,59,14,Sunny,4/9/2020
An Giang,35,22,0.0,63,26,Sunny,4/10/2020
An Giang,36,23,0.0,60,31,Sunny,4/11/2020
An Giang,35,23,0.0,62,27,Sunny,4/12/2020
An Giang,37,23,0.0,60,16,Sunny,4/13/2020
An Giang,37,22,0.0,62,18,Sunny,4/14/2020
An Giang,36,24,0.0,61,12,Sunny,4/15/2020
An Giang,36,23,0.0,62,17,Sunny,4/16/2020
An Giang,36,25,0.7,63,23,Rain,4/17/2020
An Giang,37,25,0.3,59,14,Rain,4/18/2020
An Giang,36,26,0.0,61,26,Sunny,4/19/2020
An Giang,36,26,2.3,58,30,Rain,4/20/2020
An Giang,37,27,0.2,58,27,Rain,4/21/2020
An Giang,36,27,2.3,60,33,Rain,4/22/2020
An Giang,35,26,3.6,62,34,Rain,4/23/2020
An Giang,36,26,1.8,63,30,Rain,4/24/2020
An Giang,34,25,12.3,68,38,Drizzle,4/25/2020
An Giang,34,25,14.7,69,40,Drizzle,4/26/2020
An Giang,34,25,4.3,69,58,Rain,4/27/2020
An Giang,33,25,4.9,71,55,Rain,4/28/2020
An Giang,35,26,4.0,65,39,Rain,4/29/2020
An Giang,35,25,2.8,68,33,Rain,4/30/2020
An Giang,35,26,25.4,69,25,Drizzle,5/1/2020
An Giang,34,25,27.2,72,25,Drizzle,5/2/2020
An Giang,34,26,17.4,71,42,Drizzle,5/3/2020
An Giang,34,25,5.5,71,57,Drizzle,5/4/2020
An Giang,34,26,5.1,71,56,Drizzle,5/5/2020
An Giang,36,26,4.4,70,58,Rain,5/6/2020
An Giang,34,26,3.6,68,69,Rain,5/7/2020
An Giang,33,26,2.8,69,69,Rain,5/8/2020
An Giang,34,26,0.3,66,39,Rain,5/9/2020
An Giang,34,25,0.1,67,39,Rain,5/10/2020
An Giang,36,26,0.0,63,35,Sunny,5/11/2020
An Giang,35,25,0.0,66,33,Sunny,5/12/2020
An Giang,35,27,9.5,65,32,Drizzle,5/13/2020
An Giang,36,26,15.5,67,32,Drizzle,5/14/2020
An Giang,36,26,1.5,63,35,Rain,5/15/2020
An Giang,36,26,0.2,63,22,Rain,5/16/2020
An Giang,36,26,1.4,58,30,Rain,5/17/2020
An Giang,37,26,0.0,58,24,Sunny,5/18/2020
An Giang,35,27,0.9,58,49,Rain,5/19/2020
An Giang,35,26,0.5,59,41,Rain,5/20/2020
An Giang,35,26,8.4,65,46,Drizzle,5/21/2020
An Giang,35,26,9.6,64,29,Drizzle,5/22/2020
An Giang,35,27,1.1,63,39,Rain,5/23/2020
An Giang,35,26,4.1,64,36,Rain,5/24/2020
An Giang,34,26,7.9,67,48,Drizzle,5/25/2020
An Giang,34,26,23.0,68,37,Drizzle,5/26/2020
An Giang,32,26,30.0,75,62,Drizzle,5/27/2020
An Giang,34,26,18.1,73,60,Drizzle,5/28/2020
An Giang,31,25,13.8,77,56,Drizzle,5/29/2020
An Giang,32,26,16.2,74,61,Drizzle,5/30/2020
An Giang,32,24,25.1,75,67,Drizzle,5/31/2020
An Giang,32,25,30.8,74,55,Drizzle,6/1/2020
An Giang,33,25,9.6,70,42,Drizzle,6/2/2020
An Giang,34,25,6.0,68,46,Drizzle,6/3/2020
An Giang,34,25,15.8,70,42,Drizzle,6/4/2020
An Giang,33,26,24.8,71,46,Drizzle,6/5/2020
An Giang,34,26,21.0,70,38,Drizzle,6/6/2020
An Giang,34,26,9.9,69,32,Drizzle,6/7/2020
An Giang,35,26,32.3,72,29,Drizzle,6/8/2020
An Giang,35,26,9.3,69,25,Drizzle,6/9/2020
An Giang,35,26,23.4,71,42,Drizzle,6/10/2020
An Giang,36,26,30.1,70,36,Drizzle,6/11/2020
An Giang,35,26,2.7,70,31,Rain,6/12/2020
An Giang,35,26,8.7,71,30,Drizzle,6/13/2020
An Giang,35,27,2.9,71,46,Rain,6/14/2020
An Giang,35,27,9.7,71,45,Drizzle,6/15/2020
An Giang,35,27,0.0,70,29,Sunny,6/16/2020
An Giang,36,27,0.0,68,19,Sunny,6/17/2020
An Giang,36,28,0.1,66,20,Rain,6/18/2020
An Giang,36,27,0.4,66,24,Rain,6/19/2020
An Giang,36,28,4.7,61,27,Rain,6/20/2020
An Giang,36,28,0.7,62,25,Rain,6/21/2020
An Giang,37,27,0.5,55,21,Rain,6/22/2020
An Giang,37,26,0.0,58,16,Sunny,6/23/2020
An Giang,37,27,0.0,56,18,Sunny,6/24/2020
An Giang,37,26,0.0,60,19,Sunny,6/25/2020
An Giang,37,27,0.0,57,20,Sunny,6/26/2020
An Giang,37,26,0.0,60,31,Sunny,6/27/2020
An Giang,37,27,0.0,59,26,Sunny,6/28/2020
An Giang,37,27,0.0,61,43,Sunny,6/29/2020
An Giang,36,29,1.8,61,22,Rain,6/30/2020
An Giang,36,28,7.8,62,36,Drizzle,7/1/2020
An Giang,36,28,0.2,58,19,Rain,7/2/2020
An Giang,37,28,0.0,58,18,Sunny,7/3/2020
An Giang,38,28,0.0,55,9,Sunny,7/4/2020
An Giang,38,29,0.0,55,9,Sunny,7/5/2020
An Giang,38,29,0.0,57,9,Sunny,7/6/2020
An Giang,38,29,0.0,58,10,Sunny,7/7/2020
An Giang,39,29,6.3,60,15,Drizzle,7/8/2020
An Giang,39,29,4.0,62,17,Rain,7/9/2020
An Giang,37,29,22.3,65,24,Drizzle,7/10/2020
An Giang,36,28,29.9,68,28,Drizzle,7/11/2020
An Giang,35,28,17.1,67,19,Drizzle,7/12/2020
An Giang,36,28,24.1,68,23,Drizzle,7/13/2020
An Giang,34,28,10.9,70,37,Drizzle,7/14/2020
An Giang,34,27,21.3,71,33,Drizzle,7/15/2020
An Giang,34,27,15.3,71,33,Drizzle,7/16/2020
An Giang,34,27,14.6,71,38,Drizzle,7/17/2020
An Giang,34,27,9.8,70,41,Drizzle,7/18/2020
An Giang,34,27,12.9,71,41,Drizzle,7/19/2020
An Giang,33,27,22.6,72,35,Drizzle,7/20/2020
An Giang,34,27,21.1,71,32,Drizzle,7/21/2020
An Giang,35,27,0.4,65,37,Rain,7/22/2020
An Giang,35,26,3.9,67,28,Rain,7/23/2020
An Giang,35,27,27.1,69,46,Drizzle,7/24/2020
An Giang,34,27,21.6,71,39,Drizzle,7/25/2020
An Giang,34,27,12.1,72,37,Drizzle,7/26/2020
An Giang,34,27,11.4,72,49,Drizzle,7/27/2020
An Giang,34,28,18.5,74,40,Drizzle,7/28/2020
An Giang,34,27,11.1,73,52,Drizzle,7/29/2020
An Giang,34,28,15.9,74,41,Drizzle,7/30/2020
An Giang,34,28,15.9,74,37,Drizzle,7/31/2020
An Giang,34,28,31.0,73,29,Drizzle,8/1/2020
An Giang,35,28,30.5,74,32,Drizzle,8/2/2020
An Giang,34,28,17.0,74,27,Drizzle,8/3/2020
An Giang,35,28,22.4,74,26,Drizzle,8/4/2020
An Giang,35,28,12.3,70,22,Drizzle,8/5/2020
An Giang,35,28,10.9,70,29,Drizzle,8/6/2020
An Giang,35,28,5.4,70,26,Drizzle,8/7/2020
An Giang,34,27,4.3,71,34,Rain,8/8/2020
An Giang,35,27,4.3,67,38,Rain,8/9/2020
An Giang,35,26,8.5,68,29,Drizzle,8/10/2020
An Giang,33,27,15.8,75,51,Drizzle,8/11/2020
An Giang,33,27,18.2,74,47,Drizzle,8/12/2020
An Giang,32,27,4.8,76,48,Rain,8/13/2020
An Giang,31,27,4.1,77,46,Rain,8/14/2020
An Giang,33,26,7.7,71,56,Drizzle,8/15/2020
An Giang,33,26,4.0,70,52,Rain,8/16/2020
An Giang,35,27,9.0,69,27,Drizzle,8/17/2020
An Giang,35,27,7.6,67,26,Drizzle,8/18/2020
An Giang,35,28,0.1,68,33,Rain,8/19/2020
An Giang,35,28,0.1,68,34,Rain,8/20/2020
An Giang,35,28,2.9,66,42,Rain,8/21/2020
An Giang,36,27,17.9,66,47,Drizzle,8/22/2020
An Giang,34,28,18.8,74,64,Drizzle,8/23/2020
An Giang,34,27,25.1,74,68,Drizzle,8/24/2020
An Giang,30,28,1.1,78,60,Rain,8/25/2020
An Giang,29,27,2.3,81,67,Rain,8/26/2020
An Giang,34,28,2.1,74,56,Rain,8/27/2020
An Giang,35,27,10.9,74,62,Drizzle,8/28/2020
An Giang,34,28,11.6,73,43,Drizzle,8/29/2020
An Giang,34,28,20.4,75,41,Drizzle,8/30/2020
An Giang,34,28,10.6,73,47,Drizzle,8/31/2020
An Giang,34,28,22.5,76,46,Drizzle,9/1/2020
An Giang,34,28,24.7,74,32,Drizzle,9/2/2020
An Giang,34,28,35.0,76,29,Drizzle,9/3/2020
An Giang,34,28,11.8,76,45,Drizzle,9/4/2020
An Giang,33,28,29.8,79,57,Drizzle,9/5/2020
An Giang,34,28,4.4,75,44,Rain,9/6/2020
An Giang,34,28,0.3,75,30,Rain,9/7/2020
An Giang,34,28,17.0,73,31,Drizzle,9/8/2020
An Giang,34,28,26.6,75,34,Drizzle,9/9/2020
An Giang,34,28,5.6,72,32,Drizzle,9/10/2020
An Giang,34,27,12.7,75,33,Drizzle,9/11/2020
An Giang,34,28,15.6,72,42,Drizzle,9/12/2020
An Giang,34,28,19.2,75,43,Drizzle,9/13/2020
An Giang,35,28,4.3,71,44,Rain,9/14/2020
An Giang,35,27,0.9,72,44,Rain,9/15/2020
An Giang,34,28,5.6,72,66,Drizzle,9/16/2020
An Giang,34,28,14.5,73,54,Drizzle,9/17/2020
An Giang,34,27,6.4,73,43,Drizzle,9/18/2020
An Giang,34,27,11.1,75,50,Drizzle,9/19/2020
An Giang,34,27,3.2,71,59,Rain,9/20/2020
An Giang,34,27,14.3,75,61,Drizzle,9/21/2020
An Giang,34,27,18.3,73,54,Drizzle,9/22/2020
An Giang,35,27,19.9,74,47,Drizzle,9/23/2020
An Giang,34,28,10.6,72,38,Drizzle,9/24/2020
An Giang,33,27,9.9,76,30,Drizzle,9/25/2020
An Giang,35,28,0.1,72,22,Rain,9/26/2020
An Giang,34,27,0.1,75,27,Rain,9/27/2020
An Giang,34,28,6.0,73,26,Drizzle,9/28/2020
An Giang,33,27,8.2,77,43,Drizzle,9/29/2020
An Giang,34,27,6.0,73,27,Drizzle,9/30/2020
An Giang,33,27,10.7,76,28,Drizzle,10/1/2020
An Giang,34,27,2.9,71,38,Rain,10/2/2020
