province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Ba Ria - Vung Tau,29,25,0.2,74,16,Rain,1/1/2020
Ba Ria - Vung Tau,29,25,0.3,73,14,Rain,1/2/2020
Ba Ria - Vung Tau,29,25,0,71,25,Sunny,1/3/2020
Ba Ria - Vung Tau,28,25,3.8,75,25,Rain,1/4/2020
Ba Ria - Vung Tau,28,25,0,75,24,Sunny,1/5/2020
Ba Ria - Vung Tau,28,25,0,74,19,Sunny,1/6/2020
Ba Ria - Vung Tau,29,25,0,75,22,Sunny,1/7/2020
Ba Ria - Vung Tau,29,26,0,75,15,Sunny,1/8/2020
Ba Ria - Vung Tau,29,25,0,74,7,Sunny,1/9/2020
Ba Ria - Vung Tau,29,26,0,74,8,Sunny,1/10/2020
Ba Ria - Vung Tau,28,26,0,77,31,Sunny,1/11/2020
Ba Ria - Vung Tau,30,26,0.1,78,23,Rain,1/12/2020
Ba Ria - Vung Tau,30,25,0.5,81,34,Rain,1/13/2020
Ba Ria - Vung Tau,28,26,11.9,82,60,Drizzle,1/14/2020
Ba Ria - Vung Tau,28,26,32.6,82,68,Drizzle,1/15/2020
Ba Ria - Vung Tau,28,25,0.9,79,61,Rain,1/16/2020
Ba Ria - Vung Tau,29,26,0,72,23,Sunny,1/17/2020
Ba Ria - Vung Tau,29,26,0,69,34,Sunny,1/18/2020
Ba Ria - Vung Tau,29,26,0,71,42,Sunny,1/19/2020
Ba Ria - Vung Tau,29,26,0.4,71,45,Rain,1/20/2020
Ba Ria - Vung Tau,29,26,2.2,73,36,Rain,1/21/2020
Ba Ria - Vung Tau,29,25,1.3,71,42,Rain,1/22/2020
Ba Ria - Vung Tau,29,25,0,70,24,Sunny,1/23/2020
Ba Ria - Vung Tau,29,25,0.5,73,56,Rain,1/24/2020
Ba Ria - Vung Tau,29,26,0.1,74,27,Rain,1/25/2020
Ba Ria - Vung Tau,28,26,0,71,18,Sunny,1/26/2020
Ba Ria - Vung Tau,28,24,0,66,15,Sunny,1/27/2020
Ba Ria - Vung Tau,29,24,0,66,13,Sunny,1/28/2020
Ba Ria - Vung Tau,28,25,0.2,75,21,Rain,1/29/2020
Ba Ria - Vung Tau,27,24,0,76,15,Sunny,1/30/2020
Ba Ria - Vung Tau,29,24,0,73,25,Sunny,1/31/2020
Ba Ria - Vung Tau,28,25,1.3,76,36,Rain,2/1/2020
Ba Ria - Vung Tau,28,25,0.6,80,42,Rain,2/2/2020
Ba Ria - Vung Tau,28,25,0,81,31,Sunny,2/3/2020
Ba Ria - Vung Tau,28,25,7.1,81,36,Drizzle,2/4/2020
Ba Ria - Vung Tau,29,25,19.1,82,24,Drizzle,2/5/2020
Ba Ria - Vung Tau,30,24,0,80,14,Sunny,2/6/2020
Ba Ria - Vung Tau,28,24,0,73,22,Sunny,2/7/2020
Ba Ria - Vung Tau,28,24,0,78,9,Sunny,2/8/2020
Ba Ria - Vung Tau,28,24,0,77,18,Sunny,2/9/2020
Ba Ria - Vung Tau,28,24,0,72,20,Sunny,2/10/2020
Ba Ria - Vung Tau,28,24,0,66,7,Sunny,2/11/2020
Ba Ria - Vung Tau,28,24,0,61,16,Sunny,2/12/2020
Ba Ria - Vung Tau,28,23,0,62,6,Sunny,2/13/2020
Ba Ria - Vung Tau,28,24,0,65,16,Sunny,2/14/2020
Ba Ria - Vung Tau,28,24,0,65,23,Sunny,2/15/2020
Ba Ria - Vung Tau,28,23,0,67,6,Sunny,2/16/2020
Ba Ria - Vung Tau,28,24,0,72,45,Sunny,2/17/2020
Ba Ria - Vung Tau,28,24,0,74,24,Sunny,2/18/2020
Ba Ria - Vung Tau,28,24,5.8,76,31,Drizzle,2/19/2020
Ba Ria - Vung Tau,27,25,3.2,79,54,Rain,2/20/2020
Ba Ria - Vung Tau,28,25,0,79,28,Sunny,2/21/2020
Ba Ria - Vung Tau,29,26,0,78,24,Sunny,2/22/2020
Ba Ria - Vung Tau,29,26,0,79,9,Sunny,2/23/2020
Ba Ria - Vung Tau,29,26,0,75,7,Sunny,2/24/2020
Ba Ria - Vung Tau,29,26,0,72,21,Sunny,2/25/2020
Ba Ria - Vung Tau,29,26,1.8,73,46,Rain,2/26/2020
Ba Ria - Vung Tau,29,26,0,68,18,Sunny,2/27/2020
Ba Ria - Vung Tau,29,25,0,69,10,Sunny,2/28/2020
Ba Ria - Vung Tau,29,26,0,68,20,Sunny,3/1/2020
Ba Ria - Vung Tau,29,25,0,67,20,Sunny,3/2/2020
Ba Ria - Vung Tau,28,24,0,69,13,Sunny,3/3/2020
Ba Ria - Vung Tau,28,24,0,75,8,Sunny,3/4/2020
Ba Ria - Vung Tau,28,24,0,79,8,Sunny,3/5/2020
Ba Ria - Vung Tau,27,24,0,81,16,Sunny,3/6/2020
Ba Ria - Vung Tau,28,25,0,74,12,Sunny,3/7/2020
Ba Ria - Vung Tau,28,25,0,76,6,Sunny,3/8/2020
Ba Ria - Vung Tau,28,25,0,74,7,Sunny,3/9/2020
Ba Ria - Vung Tau,29,25,0,75,6,Sunny,3/10/2020
Ba Ria - Vung Tau,28,25,0,79,6,Sunny,3/11/2020
Ba Ria - Vung Tau,28,25,0,78,13,Sunny,3/12/2020
Ba Ria - Vung Tau,28,25,0,77,28,Sunny,3/13/2020
Ba Ria - Vung Tau,29,26,0.3,73,15,Rain,3/14/2020
Ba Ria - Vung Tau,29,26,0,77,16,Sunny,3/15/2020
Ba Ria - Vung Tau,29,27,0.1,77,18,Rain,3/16/2020
Ba Ria - Vung Tau,29,26,0,79,27,Sunny,3/17/2020
Ba Ria - Vung Tau,29,26,0,79,14,Sunny,3/18/2020
Ba Ria - Vung Tau,30,26,0.9,77,21,Rain,3/19/2020
Ba Ria - Vung Tau,29,26,1.6,78,15,Rain,3/20/2020
Ba Ria - Vung Tau,28,26,0.5,79,31,Rain,3/21/2020
Ba Ria - Vung Tau,29,26,0.2,78,47,Rain,3/22/2020
Ba Ria - Vung Tau,29,26,0,78,18,Sunny,3/23/2020
Ba Ria - Vung Tau,30,26,2.5,77,15,Rain,3/24/2020
Ba Ria - Vung Tau,30,27,0.4,76,13,Rain,3/25/2020
Ba Ria - Vung Tau,31,27,0,71,5,Sunny,3/26/2020
Ba Ria - Vung Tau,31,27,0,69,9,Sunny,3/27/2020
Ba Ria - Vung Tau,30,27,0,70,15,Sunny,3/28/2020
Ba Ria - Vung Tau,30,27,0,73,28,Sunny,3/29/2020
Ba Ria - Vung Tau,31,27,0,71,31,Sunny,3/30/2020
Ba Ria - Vung Tau,30,27,0,75,30,Sunny,3/31/2020
Ba Ria - Vung Tau,30,27,7.4,77,25,Drizzle,4/1/2020
Ba Ria - Vung Tau,30,26,2.5,74,31,Rain,4/2/2020
Ba Ria - Vung Tau,29,27,10.4,73,37,Drizzle,4/3/2020
Ba Ria - Vung Tau,30,26,0,72,32,Sunny,4/4/2020
Ba Ria - Vung Tau,30,27,3.1,74,37,Rain,4/5/2020
Ba Ria - Vung Tau,30,27,5.3,73,38,Drizzle,4/6/2020
Ba Ria - Vung Tau,30,27,0,77,15,Sunny,4/7/2020
Ba Ria - Vung Tau,30,27,0,77,17,Sunny,4/8/2020
Ba Ria - Vung Tau,30,27,0,80,16,Sunny,4/9/2020
Ba Ria - Vung Tau,29,27,0,84,21,Sunny,4/10/2020
Ba Ria - Vung Tau,30,26,0,81,15,Sunny,4/11/2020
Ba Ria - Vung Tau,30,27,0,80,19,Sunny,4/12/2020
Ba Ria - Vung Tau,30,27,1.6,78,6,Rain,4/13/2020
Ba Ria - Vung Tau,31,27,0,73,0,Sunny,4/14/2020
Ba Ria - Vung Tau,30,27,0,74,4,Sunny,4/15/2020
Ba Ria - Vung Tau,30,26,0,77,13,Sunny,4/16/2020
Ba Ria - Vung Tau,30,27,0,78,22,Sunny,4/17/2020
Ba Ria - Vung Tau,31,27,6.3,77,13,Drizzle,4/18/2020
Ba Ria - Vung Tau,30,28,0,75,13,Sunny,4/19/2020
Ba Ria - Vung Tau,31,28,0,76,25,Sunny,4/20/2020
Ba Ria - Vung Tau,31,28,0.6,76,20,Rain,4/21/2020
Ba Ria - Vung Tau,32,29,2.2,72,11,Rain,4/22/2020
Ba Ria - Vung Tau,31,29,12.1,75,15,Drizzle,4/23/2020
Ba Ria - Vung Tau,31,28,14.1,74,19,Drizzle,4/24/2020
Ba Ria - Vung Tau,30,28,7.1,74,16,Drizzle,4/25/2020
Ba Ria - Vung Tau,31,28,12.4,72,21,Drizzle,4/26/2020
Ba Ria - Vung Tau,31,29,14.9,71,15,Drizzle,4/27/2020
Ba Ria - Vung Tau,31,28,3.5,71,23,Rain,4/28/2020
Ba Ria - Vung Tau,31,28,15.7,71,32,Drizzle,4/29/2020
Ba Ria - Vung Tau,30,28,15.8,75,29,Drizzle,4/30/2020
Ba Ria - Vung Tau,31,28,20.3,73,25,Drizzle,5/1/2020
Ba Ria - Vung Tau,31,29,8.3,72,23,Drizzle,5/2/2020
Ba Ria - Vung Tau,31,29,0.2,70,25,Rain,5/3/2020
Ba Ria - Vung Tau,31,29,0.2,71,38,Rain,5/4/2020
Ba Ria - Vung Tau,32,29,7.6,68,22,Drizzle,5/5/2020
Ba Ria - Vung Tau,32,29,11.1,71,22,Drizzle,5/6/2020
Ba Ria - Vung Tau,31,29,5.5,72,45,Drizzle,5/7/2020
Ba Ria - Vung Tau,31,29,11.6,71,55,Drizzle,5/8/2020
Ba Ria - Vung Tau,30,28,5,76,78,Rain,5/9/2020
Ba Ria - Vung Tau,32,28,24.9,71,37,Drizzle,5/10/2020
Ba Ria - Vung Tau,32,29,10.9,69,32,Drizzle,5/11/2020
Ba Ria - Vung Tau,32,29,15.3,71,20,Drizzle,5/12/2020
Ba Ria - Vung Tau,32,29,4.1,70,46,Rain,5/13/2020
Ba Ria - Vung Tau,31,29,43.3,69,58,Drizzle,5/14/2020
Ba Ria - Vung Tau,31,29,15.3,72,32,Drizzle,5/15/2020
Ba Ria - Vung Tau,32,29,15.9,72,38,Drizzle,5/16/2020
Ba Ria - Vung Tau,32,29,2.7,71,33,Rain,5/17/2020
Ba Ria - Vung Tau,32,30,11.7,73,27,Drizzle,5/18/2020
Ba Ria - Vung Tau,32,29,22,73,31,Drizzle,5/19/2020
Ba Ria - Vung Tau,32,29,36.2,74,28,Drizzle,5/20/2020
Ba Ria - Vung Tau,32,29,7.5,73,27,Drizzle,5/21/2020
Ba Ria - Vung Tau,32,29,14.4,73,25,Drizzle,5/22/2020
Ba Ria - Vung Tau,32,29,13.4,73,25,Drizzle,5/23/2020
Ba Ria - Vung Tau,32,29,18.5,72,23,Drizzle,5/24/2020
Ba Ria - Vung Tau,32,29,49.4,74,26,Drizzle,5/25/2020
Ba Ria - Vung Tau,32,29,12.1,73,39,Drizzle,5/26/2020
Ba Ria - Vung Tau,29,28,37.5,82,83,Drizzle,5/27/2020
Ba Ria - Vung Tau,31,28,18.6,78,65,Drizzle,5/28/2020
Ba Ria - Vung Tau,31,28,21.4,78,55,Drizzle,5/29/2020
Ba Ria - Vung Tau,31,28,10.8,76,35,Drizzle,5/30/2020
Ba Ria - Vung Tau,31,29,2.1,74,19,Rain,5/31/2020
Ba Ria - Vung Tau,32,29,15.2,75,18,Drizzle,6/1/2020
Ba Ria - Vung Tau,31,28,21.7,75,24,Drizzle,6/2/2020
Ba Ria - Vung Tau,32,29,13.3,73,27,Drizzle,6/3/2020
Ba Ria - Vung Tau,31,28,19.5,76,40,Drizzle,6/4/2020
Ba Ria - Vung Tau,30,28,10.5,78,75,Drizzle,6/5/2020
Ba Ria - Vung Tau,30,28,59.6,76,57,Rain,6/6/2020
Ba Ria - Vung Tau,29,27,45.7,78,74,Drizzle,6/7/2020
Ba Ria - Vung Tau,31,28,29,76,55,Drizzle,6/8/2020
Ba Ria - Vung Tau,31,28,7.3,78,36,Drizzle,6/9/2020
Ba Ria - Vung Tau,31,28,51.2,77,36,Rain,6/10/2020
Ba Ria - Vung Tau,30,28,61.6,77,40,Rain,6/11/2020
Ba Ria - Vung Tau,32,28,5.4,72,36,Drizzle,6/12/2020
Ba Ria - Vung Tau,31,28,9.7,80,31,Drizzle,6/13/2020
Ba Ria - Vung Tau,31,28,36.4,77,32,Drizzle,6/14/2020
Ba Ria - Vung Tau,31,28,5.9,74,29,Drizzle,6/15/2020
Ba Ria - Vung Tau,31,28,5.1,75,15,Drizzle,6/16/2020
Ba Ria - Vung Tau,31,28,12.8,75,19,Drizzle,6/17/2020
Ba Ria - Vung Tau,31,28,10.6,74,24,Drizzle,6/18/2020
Ba Ria - Vung Tau,32,28,17.5,74,22,Drizzle,6/19/2020
