province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Bac Lieu,30,24,0.5,76,35,Rain,1/1/2020
Bac Lieu,31,24,0.3,74,20,Rain,1/2/2020
Bac Lieu,31,25,0,70,48,Sunny,1/3/2020
Bac Lieu,30,25,0.1,71,52,Rain,1/4/2020
Bac Lieu,30,25,0,74,13,Sunny,1/5/2020
Bac Lieu,30,25,0.3,76,45,Rain,1/6/2020
Bac Lieu,31,25,0,76,41,Sunny,1/7/2020
Bac Lieu,31,25,0,76,34,Sunny,1/8/2020
Bac Lieu,31,25,0,75,25,Sunny,1/9/2020
Bac Lieu,31,25,0,72,13,Sunny,1/10/2020
Bac Lieu,31,24,1.3,74,42,Rain,1/11/2020
Bac Lieu,33,24,2.9,76,52,Rain,1/12/2020
Bac Lieu,34,25,6.2,74,31,Drizzle,1/13/2020
Bac Lieu,33,25,11.6,75,42,Drizzle,1/14/2020
Bac Lieu,29,25,7.2,83,78,Drizzle,1/15/2020
Bac Lieu,29,23,0.9,85,69,Rain,1/16/2020
Bac Lieu,30,25,0.1,77,47,Rain,1/17/2020
Bac Lieu,29,25,0,73,48,Sunny,1/18/2020
Bac Lieu,30,25,6.3,74,42,Drizzle,1/19/2020
Bac Lieu,31,26,0,70,64,Sunny,1/20/2020
Bac Lieu,31,25,0.2,69,39,Rain,1/21/2020
Bac Lieu,30,25,0,67,41,Sunny,1/22/2020
Bac Lieu,31,24,0,64,33,Sunny,1/23/2020
Bac Lieu,28,25,1.2,76,69,Rain,1/24/2020
Bac Lieu,32,25,0.2,71,29,Rain,1/25/2020
Bac Lieu,31,25,0,65,21,Sunny,1/26/2020
Bac Lieu,31,23,0,62,26,Sunny,1/27/2020
Bac Lieu,32,23,0,61,18,Sunny,1/28/2020
Bac Lieu,31,24,0.4,71,38,Rain,1/29/2020
Bac Lieu,32,24,0.3,71,39,Rain,1/30/2020
Bac Lieu,32,24,0.1,64,23,Rain,1/31/2020
Bac Lieu,33,24,0,69,49,Sunny,2/1/2020
Bac Lieu,31,25,1.9,72,74,Rain,2/2/2020
Bac Lieu,32,24,0.4,74,66,Rain,2/3/2020
Bac Lieu,32,25,0.2,72,27,Rain,2/4/2020
Bac Lieu,32,24,11,75,38,Drizzle,2/5/2020
Bac Lieu,31,24,2.1,75,36,Rain,2/6/2020
