province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Ben Tre,31,24,1.3,77,28,Rain,1/1/2020
Ben Tre,31,24,1.6,75,23,Rain,1/2/2020
Ben Tre,31,24,0.0,72,33,Sunny,1/3/2020
Ben Tre,31,24,1.5,73,45,Rain,1/4/2020
Ben Tre,31,24,0.0,75,16,Sunny,1/5/2020
Ben Tre,31,24,0.4,71,26,Rain,1/6/2020
Ben Tre,31,24,0.0,72,26,Sunny,1/7/2020
Ben Tre,31,24,0.0,72,14,Sunny,1/8/2020
Ben Tre,31,24,0.0,72,7,Sunny,1/9/2020
Ben Tre,31,24,0.0,74,14,Sunny,1/10/2020
Ben Tre,31,24,6.3,76,46,Drizzle,1/11/2020
Ben Tre,32,24,0.0,76,27,Sunny,1/12/2020
Ben Tre,34,24,0.0,73,30,Sunny,1/13/2020
Ben Tre,33,25,2.1,76,48,Rain,1/14/2020
Ben Tre,29,25,10.0,86,78,Drizzle,1/15/2020
Ben Tre,29,24,0.6,84,69,Rain,1/16/2020
Ben Tre,31,24,0.0,71,21,Sunny,1/17/2020
Ben Tre,31,25,0.1,68,39,Rain,1/18/2020
Ben Tre,32,25,0.0,69,37,Sunny,1/19/2020
Ben Tre,30,25,1.4,70,62,Rain,1/20/2020
Ben Tre,32,24,2.9,73,35,Rain,1/21/2020
Ben Tre,30,24,0.0,71,42,Sunny,1/22/2020
Ben Tre,32,23,0.0,66,23,Sunny,1/23/2020
Ben Tre,32,24,0.0,68,63,Sunny,1/24/2020
Ben Tre,33,25,0.8,71,35,Rain,1/25/2020
Ben Tre,31,25,0.5,70,34,Rain,1/26/2020
Ben Tre,31,22,0.0,64,15,Sunny,1/27/2020
Ben Tre,32,23,0.0,64,13,Sunny,1/28/2020
Ben Tre,31,23,0.0,71,27,Sunny,1/29/2020
Ben Tre,32,23,0.0,71,20,Sunny,1/30/2020
Ben Tre,33,22,0.0,68,22,Sunny,1/31/2020
Ben Tre,34,23,0.2,70,39,Rain,2/1/2020
Ben Tre,33,24,1.5,75,52,Rain,2/2/2020
Ben Tre,32,24,1.5,77,30,Rain,2/3/2020
Ben Tre,33,24,2.8,74,28,Rain,2/4/2020
Ben Tre,32,24,3.4,76,40,Rain,2/5/2020
Ben Tre,32,23,0.2,74,29,Rain,2/6/2020
Ben Tre,33,23,0.0,69,30,Sunny,2/7/2020
Ben Tre,35,22,0.0,71,16,Sunny,2/8/2020
Ben Tre,33,23,0.0,71,20,Sunny,2/9/2020
Ben Tre,33,23,0.0,69,19,Sunny,2/10/2020
Ben Tre,33,23,0.0,61,8,Sunny,2/11/2020
Ben Tre,32,22,0.0,56,14,Sunny,2/12/2020
Ben Tre,33,22,0.0,57,6,Sunny,2/13/2020
Ben Tre,32,22,0.0,58,20,Sunny,2/14/2020
Ben Tre,32,23,0.0,58,33,Sunny,2/15/2020
Ben Tre,33,22,0.0,59,11,Sunny,2/16/2020
