province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Ca Mau,29,24,0.5,79,44,Rain,1/1/2020
Ca Mau,30,25,3.1,78,37,Rain,1/2/2020
Ca Mau,30,25,0.0,75,47,Sunny,1/3/2020
Ca Mau,29,25,1.7,75,45,Rain,1/4/2020
Ca Mau,30,25,0.0,76,26,Sunny,1/5/2020
Ca Mau,28,25,1.3,80,74,Rain,1/6/2020
Ca Mau,30,25,0.9,79,60,Rain,1/7/2020
Ca Mau,30,25,0.9,77,41,Rain,1/8/2020
Ca Mau,31,25,2.0,75,42,Rain,1/9/2020
Ca Mau,31,25,0.0,74,18,Sunny,1/10/2020
Ca Mau,30,24,2.2,78,32,Rain,1/11/2020
Ca Mau,31,25,0.4,78,41,Rain,1/12/2020
Ca Mau,32,25,0.8,75,21,Rain,1/13/2020
Ca Mau,32,26,5.3,74,31,Drizzle,1/14/2020
Ca Mau,31,25,28.5,80,49,Drizzle,1/15/2020
Ca Mau,29,24,6.2,85,70,Drizzle,1/16/2020
Ca Mau,30,24,4.7,80,39,Rain,1/17/2020
Ca Mau,29,25,0.0,76,42,Sunny,1/18/2020
Ca Mau,30,25,8.6,77,41,Drizzle,1/19/2020
Ca Mau,31,25,3.8,72,58,Rain,1/20/2020
Ca Mau,30,25,2.7,72,39,Rain,1/21/2020
Ca Mau,29,25,0.7,71,43,Rain,1/22/2020
Ca Mau,30,24,0.1,68,48,Rain,1/23/2020
Ca Mau,30,25,0.0,72,62,Sunny,1/24/2020
Ca Mau,32,25,4.4,71,30,Rain,1/25/2020
Ca Mau,31,25,1.0,68,26,Rain,1/26/2020
Ca Mau,31,24,0.0,64,30,Sunny,1/27/2020
Ca Mau,31,24,0.0,63,29,Sunny,1/28/2020
Ca Mau,31,24,0.3,72,43,Rain,1/29/2020
Ca Mau,31,24,2.3,73,43,Rain,1/30/2020
Ca Mau,31,24,0.6,69,28,Rain,1/31/2020
Ca Mau,33,25,0.0,66,44,Sunny,2/1/2020
Ca Mau,30,25,7.2,75,80,Drizzle,2/2/2020
Ca Mau,31,25,0.2,75,66,Rain,2/3/2020
Ca Mau,31,25,3.9,75,32,Rain,2/4/2020
Ca Mau,32,25,5.3,76,36,Drizzle,2/5/2020
Ca Mau,30,25,9.7,78,39,Drizzle,2/6/2020
Ca Mau,31,24,0.6,76,27,Rain,2/7/2020
Ca Mau,33,24,0.0,70,19,Sunny,2/8/2020
Ca Mau,32,25,6.5,72,17,Drizzle,2/9/2020
Ca Mau,30,25,5.7,75,43,Drizzle,2/10/2020
Ca Mau,31,24,0.0,68,29,Sunny,2/11/2020
Ca Mau,31,23,0.0,59,20,Sunny,2/12/2020
Ca Mau,31,24,0.0,60,9,Sunny,2/13/2020
Ca Mau,31,23,0.0,63,26,Sunny,2/14/2020
Ca Mau,31,24,0.3,62,34,Rain,2/15/2020
Ca Mau,31,24,0.0,60,15,Sunny,2/16/2020
Ca Mau,31,23,1.3,71,34,Rain,2/17/2020
Ca Mau,32,24,0.0,68,29,Sunny,2/18/2020
Ca Mau,33,24,0.2,68,46,Rain,2/19/2020
Ca Mau,31,25,0.7,73,43,Rain,2/20/2020
Ca Mau,32,25,9.2,76,30,Drizzle,2/21/2020
Ca Mau,33,25,6.3,75,17,Drizzle,2/22/2020
Ca Mau,32,25,1.0,76,38,Rain,2/23/2020
Ca Mau,33,24,0.0,74,18,Sunny,2/24/2020
Ca Mau,33,25,0.0,68,22,Sunny,2/25/2020
Ca Mau,33,25,6.7,66,28,Drizzle,2/26/2020
Ca Mau,32,25,0.2,67,27,Rain,2/27/2020
Ca Mau,33,25,0.0,66,24,Sunny,2/28/2020
Ca Mau,33,25,0.7,65,33,Rain,3/1/2020
Ca Mau,32,25,0.6,63,31,Rain,3/2/2020
Ca Mau,33,25,0.0,62,12,Sunny,3/3/2020
Ca Mau,33,24,0.0,69,19,Sunny,3/4/2020
Ca Mau,32,24,0.0,73,32,Sunny,3/5/2020
Ca Mau,33,25,1.0,70,27,Rain,3/6/2020
Ca Mau,32,25,0.0,69,25,Sunny,3/7/2020
Ca Mau,33,24,0.0,69,21,Sunny,3/8/2020
Ca Mau,32,24,0.2,70,24,Rain,3/9/2020
Ca Mau,33,24,0.0,68,13,Sunny,3/10/2020
Ca Mau,34,24,0.0,68,14,Sunny,3/11/2020
Ca Mau,34,26,0.6,66,9,Rain,3/12/2020
Ca Mau,33,26,5.6,64,21,Drizzle,3/13/2020
Ca Mau,34,26,1.8,62,18,Rain,3/14/2020
Ca Mau,34,26,1.4,64,22,Rain,3/15/2020
Ca Mau,32,26,4.7,70,36,Rain,3/16/2020
Ca Mau,33,26,2.9,70,25,Rain,3/17/2020
Ca Mau,33,26,0.6,71,33,Rain,3/18/2020
Ca Mau,32,26,21.5,73,36,Drizzle,3/19/2020
Ca Mau,32,26,3.7,73,29,Rain,3/20/2020
Ca Mau,32,26,0.7,72,44,Rain,3/21/2020
Ca Mau,32,26,0.7,70,52,Rain,3/22/2020
Ca Mau,33,26,0.0,70,18,Sunny,3/23/2020
Ca Mau,33,26,0.5,70,34,Rain,3/24/2020
Ca Mau,33,27,16.8,70,35,Drizzle,3/25/2020
Ca Mau,34,27,0.5,70,42,Rain,3/26/2020
Ca Mau,34,27,1.1,67,43,Rain,3/27/2020
Ca Mau,34,27,4.8,67,24,Rain,3/28/2020
Ca Mau,33,27,16.2,72,50,Drizzle,3/29/2020
Ca Mau,33,26,8.7,69,51,Drizzle,3/30/2020
Ca Mau,33,27,5.6,70,26,Drizzle,3/31/2020
Ca Mau,33,27,32.8,70,35,Drizzle,4/1/2020
Ca Mau,32,26,4.0,71,43,Rain,4/2/2020
Ca Mau,32,26,11.1,68,52,Drizzle,4/3/2020
Ca Mau,32,26,4.7,73,56,Rain,4/4/2020
Ca Mau,32,26,5.7,73,49,Drizzle,4/5/2020
Ca Mau,34,26,7.8,71,30,Drizzle,4/6/2020
Ca Mau,33,27,6.9,71,29,Drizzle,4/7/2020
Ca Mau,34,27,10.0,72,32,Drizzle,4/8/2020
Ca Mau,34,27,4.0,71,24,Rain,4/9/2020
Ca Mau,33,27,6.6,74,21,Drizzle,4/10/2020
Ca Mau,34,27,2.7,72,16,Rain,4/11/2020
Ca Mau,34,27,1.7,71,14,Rain,4/12/2020
Ca Mau,35,27,2.7,69,15,Rain,4/13/2020
Ca Mau,35,27,0.1,67,13,Rain,4/14/2020
Ca Mau,35,26,0.2,70,34,Rain,4/15/2020
Ca Mau,35,26,0.0,68,26,Sunny,4/16/2020
Ca Mau,35,26,1.8,67,34,Rain,4/17/2020
Ca Mau,33,28,1.3,68,22,Rain,4/18/2020
Ca Mau,35,28,0.0,64,7,Sunny,4/19/2020
Ca Mau,35,28,0.0,62,8,Sunny,4/20/2020
Ca Mau,35,28,2.3,64,7,Rain,4/21/2020
Ca Mau,36,28,2.1,66,12,Rain,4/22/2020
Ca Mau,34,28,3.8,68,27,Rain,4/23/2020
Ca Mau,34,29,15.7,67,24,Drizzle,4/24/2020
Ca Mau,33,28,18.3,69,31,Drizzle,4/25/2020
Ca Mau,33,28,19.2,71,39,Drizzle,4/26/2020
Ca Mau,33,28,10.8,70,33,Drizzle,4/27/2020
Ca Mau,33,28,8.5,68,16,Drizzle,4/28/2020
Ca Mau,33,28,11.6,69,28,Drizzle,4/29/2020
Ca Mau,33,28,1.5,69,21,Rain,4/30/2020
Ca Mau,33,28,0.9,69,33,Rain,5/1/2020
Ca Mau,34,28,1.2,67,24,Rain,5/2/2020
Ca Mau,34,29,0.6,67,28,Rain,5/3/2020
Ca Mau,33,29,8.2,69,40,Drizzle,5/4/2020
Ca Mau,34,28,15.2,70,26,Drizzle,5/5/2020
Ca Mau,34,29,22.8,69,20,Drizzle,5/6/2020
Ca Mau,33,28,17.9,71,43,Drizzle,5/7/2020
Ca Mau,33,27,27.4,72,33,Drizzle,5/8/2020
Ca Mau,33,27,7.3,70,27,Drizzle,5/9/2020
Ca Mau,33,27,19.7,71,52,Drizzle,5/10/2020
Ca Mau,33,28,25.9,73,39,Drizzle,5/11/2020
Ca Mau,34,28,20.0,73,37,Drizzle,5/12/2020
Ca Mau,31,28,4.2,76,49,Rain,5/13/2020
Ca Mau,33,28,10.9,71,35,Drizzle,5/14/2020
Ca Mau,34,28,2.8,72,37,Rain,5/15/2020
Ca Mau,33,28,20.8,75,43,Drizzle,5/16/2020
Ca Mau,34,28,5.7,73,48,Drizzle,5/17/2020
Ca Mau,33,28,15.2,75,35,Drizzle,5/18/2020
Ca Mau,34,28,4.0,73,26,Rain,5/19/2020
Ca Mau,33,28,7.4,73,27,Drizzle,5/20/2020
Ca Mau,34,28,16.1,74,35,Drizzle,5/21/2020
Ca Mau,34,28,1.9,73,25,Rain,5/22/2020
Ca Mau,34,28,4.5,70,29,Rain,5/23/2020
Ca Mau,34,28,4.7,71,37,Rain,5/24/2020
Ca Mau,33,28,4.1,72,42,Rain,5/25/2020
