province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Dong Nai,32,24,1.9,74,28,Rain,1/1/2020
Dong Nai,32,24,4.8,72,24,Rain,1/2/2020
Dong Nai,33,23,0.0,70,25,Sunny,1/3/2020
Dong Nai,32,23,4.4,71,38,Rain,1/4/2020
Dong Nai,32,24,1.6,72,26,Rain,1/5/2020
Dong Nai,32,24,1.5,69,28,Rain,1/6/2020
Dong Nai,32,24,2.0,70,24,Rain,1/7/2020
Dong Nai,33,24,0.0,68,16,Sunny,1/8/2020
Dong Nai,34,24,0.0,68,9,Sunny,1/9/2020
Dong Nai,33,25,0.4,71,21,Rain,1/10/2020
Dong Nai,31,25,3.0,75,50,Rain,1/11/2020
Dong Nai,32,25,0.0,75,37,Sunny,1/12/2020
Dong Nai,33,25,0.1,71,37,Rain,1/13/2020
Dong Nai,33,25,12.3,75,57,Drizzle,1/14/2020
Dong Nai,31,25,34.7,83,76,Drizzle,1/15/2020
Dong Nai,30,24,4.3,80,59,Rain,1/16/2020
Dong Nai,33,24,0.4,70,20,Rain,1/17/2020
Dong Nai,32,24,0.0,66,31,Sunny,1/18/2020
Dong Nai,33,25,1.2,65,38,Rain,1/19/2020
Dong Nai,32,25,6.0,69,52,Drizzle,1/20/2020
Dong Nai,32,24,6.1,72,44,Drizzle,1/21/2020
Dong Nai,32,23,0.6,69,46,Rain,1/22/2020
Dong Nai,32,23,0.0,64,23,Sunny,1/23/2020
Dong Nai,33,24,0.3,64,57,Rain,1/24/2020
Dong Nai,33,25,9.1,70,47,Drizzle,1/25/2020
Dong Nai,32,25,2.7,69,39,Rain,1/26/2020
Dong Nai,32,22,0.1,62,14,Rain,1/27/2020
Dong Nai,32,22,0.0,63,12,Sunny,1/28/2020
Dong Nai,32,24,0.0,68,20,Sunny,1/29/2020
Dong Nai,32,24,0.0,67,13,Sunny,1/30/2020
Dong Nai,32,23,0.0,66,20,Sunny,1/31/2020
Dong Nai,34,24,0.4,66,30,Rain,2/1/2020
Dong Nai,33,25,11.9,74,58,Drizzle,2/2/2020
Dong Nai,32,25,3.3,77,39,Rain,2/3/2020
Dong Nai,32,25,5.8,75,40,Drizzle,2/4/2020
Dong Nai,32,24,8.8,76,32,Drizzle,2/5/2020
Dong Nai,33,23,0.5,72,18,Rain,2/6/2020
Dong Nai,33,23,0.0,67,26,Sunny,2/7/2020
Dong Nai,35,23,0.0,68,11,Sunny,2/8/2020
Dong Nai,34,23,0.0,68,12,Sunny,2/9/2020
Dong Nai,34,23,0.0,64,12,Sunny,2/10/2020
Dong Nai,34,23,0.0,57,7,Sunny,2/11/2020
Dong Nai,34,21,0.0,54,8,Sunny,2/12/2020
Dong Nai,34,22,0.0,53,5,Sunny,2/13/2020
Dong Nai,32,22,0.0,56,16,Sunny,2/14/2020
Dong Nai,33,22,0.0,55,23,Sunny,2/15/2020
Dong Nai,33,22,0.0,56,12,Sunny,2/16/2020
Dong Nai,32,22,0.0,61,39,Sunny,2/17/2020
Dong Nai,33,23,0.0,64,43,Sunny,2/18/2020
Dong Nai,33,24,2.4,66,36,Rain,2/19/2020
Dong Nai,32,25,0.4,68,66,Rain,2/20/2020
Dong Nai,34,25,10.5,68,36,Drizzle,2/21/2020
Dong Nai,35,25,0.0,66,34,Sunny,2/22/2020
Dong Nai,35,25,0.0,66,24,Sunny,2/23/2020
Dong Nai,35,25,0.0,63,20,Sunny,2/24/2020
Dong Nai,34,26,3.2,62,32,Rain,2/25/2020
Dong Nai,34,25,14.7,67,41,Drizzle,2/26/2020
Dong Nai,34,25,0.1,61,34,Rain,2/27/2020
Dong Nai,35,25,0.0,57,16,Sunny,2/28/2020
Dong Nai,35,26,2.4,56,28,Rain,3/1/2020
Dong Nai,34,24,3.8,61,28,Rain,3/2/2020
Dong Nai,35,25,0.0,57,10,Sunny,3/3/2020
Dong Nai,35,24,0.0,60,7,Sunny,3/4/2020
