province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Dong Thap,31,23,0.2,78,32.0,Rain,1/1/2020
Dong Thap,31,23,0.8,76,24.0,Rain,1/2/2020
Dong Thap,31,23,0.0,73,35.0,Sunny,1/3/2020
Dong Thap,30,24,14.2,89,70.0,Drizzle,1/4/2020
Dong Thap,31,23,1.0,86,67.0,Rain,1/5/2020
Dong Thap,31,23,1.2,75,58.0,Rain,1/6/2020
Dong Thap,31,24,0.0,71,48.0,Sunny,1/7/2020
Dong Thap,31,24,1.0,74,65.0,Rain,1/8/2020
Dong Thap,31,23,0.2,73,50.0,Rain,1/9/2020
Dong Thap,31,23,0.0,77,20.0,Sunny,1/10/2020
Dong Thap,31,24,0.8,74,28.0,Rain,1/11/2020
Dong Thap,31,24,0.0,75,24.0,Sunny,1/12/2020
Dong Thap,33,24,0.0,75,16.0,Sunny,1/13/2020
Dong Thap,33,24,0.0,75,10.0,Sunny,1/14/2020
Dong Thap,28,23,0.1,76,16.0,Rain,1/15/2020
Dong Thap,29,23,8.4,79,39.0,Drizzle,1/16/2020
Dong Thap,31,23,0.0,78,31.0,Sunny,1/17/2020
Dong Thap,30,24,0.0,76,23.0,Sunny,1/18/2020
Dong Thap,31,23,0.2,74,31.0,Rain,1/19/2020
Dong Thap,30,23,1.9,76,35.0,Rain,1/20/2020
Dong Thap,31,22,0.0,67,32.0,Sunny,1/21/2020
Dong Thap,30,24,0.3,72,42.0,Rain,1/22/2020
Dong Thap,31,21,0.0,66,16.0,Sunny,1/23/2020
Dong Thap,32,21,0.0,65,14.0,Sunny,1/24/2020
Dong Thap,32,22,0.0,72,37.0,Sunny,1/25/2020
Dong Thap,31,22,0.3,73,27.0,Rain,1/26/2020
Dong Thap,31,24,1.5,78,67.0,Rain,1/27/2020
Dong Thap,31,24,0.0,70,59.0,Sunny,1/28/2020
Dong Thap,31,24,0.4,73,45.0,Rain,1/29/2020
Dong Thap,31,21,0.0,68,19.0,Sunny,1/30/2020
Dong Thap,32,24,1.0,77,61.0,Rain,1/31/2020
Dong Thap,33,23,1.1,76,36.0,Rain,2/1/2020
Dong Thap,31,23,2.6,77,40.0,Rain,2/2/2020
Dong Thap,32,23,0.2,75,30.0,Rain,2/3/2020
Dong Thap,32,22,0.2,72,24.0,Rain,2/4/2020
Dong Thap,32,22,0.0,64,10.0,Sunny,2/5/2020
Dong Thap,32,20,0.0,58,13.0,Sunny,2/6/2020
Dong Thap,34,20,0.0,60,6.0,Sunny,2/7/2020
Dong Thap,33,21,0.0,61,21.0,Sunny,2/8/2020
Dong Thap,33,22,0.0,60,34.0,Sunny,2/9/2020
Dong Thap,32,21,0.0,60,13.0,Sunny,2/10/2020
Dong Thap,32,22,0.1,67,46.0,Rain,2/11/2020
Dong Thap,32,24,0.0,74,23.0,Sunny,2/12/2020
Dong Thap,32,24,3.5,78,43.0,Rain,2/13/2020
Dong Thap,32,22,0.3,68,48.0,Rain,2/14/2020
Dong Thap,32,21,0.0,70,21.0,Sunny,2/15/2020
Dong Thap,32,23,0.2,73,25.0,Rain,2/16/2020
Dong Thap,32,22,0.0,70,30.0,Sunny,2/17/2020
Dong Thap,33,23,0.0,67,38.0,Sunny,2/18/2020
Dong Thap,33,22,0.8,68,39.0,Rain,2/19/2020
Dong Thap,30,23,0.0,73,56.0,Sunny,2/20/2020
Dong Thap,34,23,1.2,73,39.0,Rain,2/21/2020
Dong Thap,35,24,0.1,70,36.0,Rain,2/22/2020
Dong Thap,35,24,0.0,70,30.0,Sunny,2/23/2020
Dong Thap,35,23,0.0,68,22.0,Sunny,2/24/2020
Dong Thap,34,24,3.2,66,34.0,Rain,2/25/2020
Dong Thap,33,24,5.3,71,35.0,Drizzle,2/26/2020
Dong Thap,34,24,0.0,62,30.0,Sunny,2/27/2020
Dong Thap,35,24,0.0,59,18.0,Sunny,2/28/2020
Dong Thap,35,24,0.3,58,31.0,Rain,3/1/2020
Dong Thap,34,24,3.6,62,37.0,Rain,3/2/2020
Dong Thap,34,23,0.0,59,17.0,Sunny,3/3/2020
Dong Thap,34,23,0.0,63,12.0,Sunny,3/4/2020
Dong Thap,34,22,0.0,69,29.0,Sunny,3/5/2020
Dong Thap,35,23,0.0,68,28.0,Sunny,3/6/2020
Dong Thap,35,23,0.0,66,27.0,Sunny,3/7/2020
Dong Thap,35,22,0.0,65,20.0,Sunny,3/8/2020
Dong Thap,35,23,0.0,64,18.0,Sunny,3/9/2020
Dong Thap,35,23,0.0,64,10.0,Sunny,3/10/2020
Dong Thap,36,22,0.0,65,15.0,Sunny,3/11/2020
Dong Thap,38,23,0.0,61,13.0,Sunny,3/12/2020
Dong Thap,36,25,0.2,57,29.0,Rain,3/13/2020
Dong Thap,36,26,3.3,59,33.0,Rain,3/14/2020
Dong Thap,36,25,0.0,62,24.0,Sunny,3/15/2020
Dong Thap,36,25,3.0,68,42.0,Rain,3/16/2020
Dong Thap,34,25,2.2,70,42.0,Rain,3/17/2020
