province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Can Tho,30,23,0.1,79,32,Rain,1/1/2020
Can Tho,31,23,1.8,77,25,Rain,1/2/2020
Can Tho,31,23,0.0,73,37,Sunny,1/3/2020
Can Tho,30,23,0.4,75,60,Rain,1/4/2020
Can Tho,31,23,0.0,77,17,Sunny,1/5/2020
Can Tho,31,24,0.6,74,28,Rain,1/6/2020
Can Tho,31,24,0.2,76,27,Rain,1/7/2020
Can Tho,31,24,0.0,76,22,Sunny,1/8/2020
Can Tho,31,24,0.0,76,15,Sunny,1/9/2020
Can Tho,31,23,0.1,76,16,Rain,1/10/2020
Can Tho,31,23,6.9,79,41,Drizzle,1/11/2020
Can Tho,31,23,0.2,78,31,Rain,1/12/2020
Can Tho,33,24,0.3,76,20,Rain,1/13/2020
Can Tho,33,24,3.0,80,34,Rain,1/14/2020
Can Tho,27,24,11.5,89,69,Drizzle,1/15/2020
Can Tho,29,23,5.4,87,66,Drizzle,1/16/2020
Can Tho,30,24,0.0,77,24,Sunny,1/17/2020
Can Tho,30,24,0.0,72,51,Sunny,1/18/2020
Can Tho,30,23,0.4,75,32,Rain,1/19/2020
Can Tho,31,24,0.3,72,71,Rain,1/20/2020
Can Tho,31,23,0.9,75,41,Rain,1/21/2020
Can Tho,30,24,0.1,72,50,Rain,1/22/2020
Can Tho,31,22,0.0,67,42,Sunny,1/23/2020
Can Tho,32,24,0.0,71,61,Sunny,1/24/2020
Can Tho,33,24,0.3,71,52,Rain,1/25/2020
Can Tho,31,24,1.0,71,39,Rain,1/26/2020
Can Tho,31,21,0.0,66,19,Sunny,1/27/2020
Can Tho,31,22,0.0,64,12,Sunny,1/28/2020
Can Tho,30,22,0.0,71,40,Sunny,1/29/2020
Can Tho,32,23,0.2,72,28,Rain,1/30/2020
Can Tho,32,22,0.0,67,20,Sunny,1/31/2020
Can Tho,33,23,0.0,68,43,Sunny,2/1/2020
Can Tho,31,24,3.1,77,84,Rain,2/2/2020
Can Tho,32,24,0.8,77,57,Rain,2/3/2020
Can Tho,32,24,1.6,75,40,Rain,2/4/2020
Can Tho,33,23,5.4,77,38,Drizzle,2/5/2020
Can Tho,32,23,0.8,75,34,Rain,2/6/2020
Can Tho,35,22,0.0,70,27,Sunny,2/7/2020
Can Tho,33,22,0.0,70,17,Sunny,2/8/2020
Can Tho,33,23,0.7,72,23,Rain,2/9/2020
Can Tho,32,23,2.8,72,35,Rain,2/10/2020
Can Tho,32,22,0.0,64,13,Sunny,2/11/2020
Can Tho,32,21,0.0,58,15,Sunny,2/12/2020
Can Tho,32,21,0.0,60,7,Sunny,2/13/2020
Can Tho,32,21,0.0,62,23,Sunny,2/14/2020
Can Tho,33,22,0.0,59,42,Sunny,2/15/2020
Can Tho,32,22,0.0,59,15,Sunny,2/16/2020
Can Tho,33,22,0.1,66,48,Rain,2/17/2020
Can Tho,34,23,0.0,66,34,Sunny,2/18/2020
Can Tho,33,23,2.1,67,44,Rain,2/19/2020
Can Tho,30,23,1.5,72,52,Rain,2/20/2020
Can Tho,34,23,3.3,74,41,Rain,2/21/2020
Can Tho,35,24,2.0,72,31,Rain,2/22/2020
Can Tho,35,24,0.0,71,34,Sunny,2/23/2020
Can Tho,35,23,0.0,69,24,Sunny,2/24/2020
Can Tho,34,24,1.5,66,35,Rain,2/25/2020
Can Tho,32,24,6.9,69,38,Drizzle,2/26/2020
Can Tho,34,24,0.0,61,30,Sunny,2/27/2020
Can Tho,35,25,0.0,59,20,Sunny,2/28/2020
Can Tho,35,25,0.0,58,32,Sunny,3/1/2020
Can Tho,34,24,2.8,60,39,Rain,3/2/2020
Can Tho,34,23,0.0,59,22,Sunny,3/3/2020
Can Tho,34,23,0.0,62,17,Sunny,3/4/2020
Can Tho,34,23,0.1,69,28,Rain,3/5/2020
Can Tho,35,23,0.1,67,33,Rain,3/6/2020
Can Tho,34,24,0.0,65,23,Sunny,3/7/2020
Can Tho,35,22,0.0,65,24,Sunny,3/8/2020
Can Tho,35,23,0.0,65,22,Sunny,3/9/2020
Can Tho,35,23,0.0,63,13,Sunny,3/10/2020
Can Tho,36,23,0.0,64,13,Sunny,3/11/2020
Can Tho,37,24,0.0,60,14,Sunny,3/12/2020
Can Tho,35,26,4.0,58,36,Rain,3/13/2020
Can Tho,35,26,3.6,60,36,Rain,3/14/2020
Can Tho,36,26,0.2,62,28,Rain,3/15/2020
Can Tho,35,25,6.8,68,41,Drizzle,3/16/2020
Can Tho,33,25,1.6,71,52,Rain,3/17/2020
Can Tho,34,25,2.4,69,38,Rain,3/18/2020
Can Tho,34,25,17.3,71,24,Drizzle,3/19/2020
Can Tho,34,25,0.1,70,37,Rain,3/20/2020
Can Tho,35,25,5.0,70,45,Rain,3/21/2020
Can Tho,32,25,0.5,71,59,Rain,3/22/2020
Can Tho,35,25,0.0,67,17,Sunny,3/23/2020
Can Tho,34,25,0.1,68,27,Rain,3/24/2020
Can Tho,35,26,13.0,69,29,Drizzle,3/25/2020
Can Tho,36,26,0.0,64,21,Sunny,3/26/2020
Can Tho,36,26,0.0,61,19,Sunny,3/27/2020
Can Tho,35,26,0.1,61,31,Rain,3/28/2020
Can Tho,35,26,4.4,66,44,Rain,3/29/2020
Can Tho,36,26,1.4,63,46,Rain,3/30/2020
Can Tho,34,26,8.8,67,39,Drizzle,3/31/2020
Can Tho,35,26,6.8,70,45,Drizzle,4/1/2020
Can Tho,34,26,1.8,66,52,Rain,4/2/2020
Can Tho,33,26,2.4,66,62,Rain,4/3/2020
Can Tho,34,25,0.0,65,33,Sunny,4/4/2020
Can Tho,34,25,8.8,69,44,Drizzle,4/5/2020
Can Tho,34,26,5.6,68,39,Drizzle,4/6/2020
Can Tho,35,26,0.7,69,36,Rain,4/7/2020
Can Tho,36,26,13.7,69,37,Drizzle,4/8/2020
Can Tho,35,26,11.7,70,24,Drizzle,4/9/2020
Can Tho,35,26,9.0,70,32,Drizzle,4/10/2020
Can Tho,37,26,0.0,66,21,Sunny,4/11/2020
Can Tho,37,27,0.7,64,16,Rain,4/12/2020
Can Tho,36,26,0.2,64,21,Rain,4/13/2020
Can Tho,36,26,0.0,62,11,Sunny,4/14/2020
Can Tho,37,25,0.0,63,22,Sunny,4/15/2020
Can Tho,37,25,0.0,63,25,Sunny,4/16/2020
Can Tho,36,26,0.0,64,45,Sunny,4/17/2020
Can Tho,36,27,6.6,64,27,Drizzle,4/18/2020
Can Tho,37,27,0.0,59,16,Sunny,4/19/2020
Can Tho,38,27,0.0,57,10,Sunny,4/20/2020
Can Tho,38,28,0.0,58,12,Sunny,4/21/2020
Can Tho,39,28,1.7,62,15,Rain,4/22/2020
Can Tho,36,28,30.6,70,26,Drizzle,4/23/2020
Can Tho,35,27,13.0,69,27,Drizzle,4/24/2020
Can Tho,35,27,10.8,70,25,Drizzle,4/25/2020
Can Tho,36,27,8.0,70,29,Drizzle,4/26/2020
Can Tho,34,27,8.1,71,47,Drizzle,4/27/2020
