province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Kien Giang,30,24,0.2,78,36,Rain,1/1/2020
Kien Giang,30,25,8.5,75,35,Drizzle,1/2/2020
Kien Giang,30,25,0.0,75,50,Sunny,1/3/2020
Kien Giang,29,25,12.3,75,56,Drizzle,1/4/2020
Kien Giang,30,24,0.0,77,23,Sunny,1/5/2020
Kien Giang,29,25,17.0,77,36,Drizzle,1/6/2020
Kien Giang,30,25,14.4,78,34,Drizzle,1/7/2020
Kien Giang,30,25,0.0,77,25,Sunny,1/8/2020
Kien Giang,30,25,0.0,75,27,Sunny,1/9/2020
Kien Giang,30,25,0.0,76,30,Sunny,1/10/2020
Kien Giang,30,25,17.9,79,31,Drizzle,1/11/2020
Kien Giang,30,25,0.1,77,28,Rain,1/12/2020
Kien Giang,30,27,5.9,79,21,Drizzle,1/13/2020
Kien Giang,31,27,23.4,75,32,Drizzle,1/14/2020
Kien Giang,28,25,26.2,84,57,Drizzle,1/15/2020
Kien Giang,29,24,32.3,84,69,Drizzle,1/16/2020
Kien Giang,29,25,5.0,78,35,Rain,1/17/2020
Kien Giang,30,25,0.0,73,43,Sunny,1/18/2020
Kien Giang,29,25,0.2,74,31,Rain,1/19/2020
Kien Giang,30,26,7.7,73,62,Drizzle,1/20/2020
Kien Giang,30,25,15.7,77,42,Drizzle,1/21/2020
Kien Giang,30,24,12.2,75,41,Drizzle,1/22/2020
Kien Giang,30,24,0.0,69,44,Sunny,1/23/2020
Kien Giang,30,25,0.3,70,51,Rain,1/24/2020
Kien Giang,30,25,9.8,75,51,Drizzle,1/25/2020
Kien Giang,29,25,10.2,76,40,Drizzle,1/26/2020
Kien Giang,30,23,0.0,67,19,Sunny,1/27/2020
Kien Giang,30,24,0.0,61,15,Sunny,1/28/2020
Kien Giang,30,24,0.0,65,27,Sunny,1/29/2020
Kien Giang,30,24,0.0,72,22,Sunny,1/30/2020
Kien Giang,30,25,0.0,71,24,Sunny,1/31/2020
Kien Giang,31,26,0.6,66,40,Rain,2/1/2020
Kien Giang,29,26,11.7,74,81,Drizzle,2/2/2020
Kien Giang,30,26,12.6,75,67,Drizzle,2/3/2020
Kien Giang,30,25,10.1,77,34,Drizzle,2/4/2020
Kien Giang,30,25,10.7,77,25,Drizzle,2/5/2020
Kien Giang,30,25,1.0,76,17,Rain,2/6/2020
Kien Giang,31,25,0.2,77,31,Rain,2/7/2020
Kien Giang,30,25,0.0,72,14,Sunny,2/8/2020
Kien Giang,31,25,0.3,70,20,Rain,2/9/2020
Kien Giang,30,25,2.2,76,34,Rain,2/10/2020
Kien Giang,31,24,0.0,68,14,Sunny,2/11/2020
Kien Giang,30,22,0.0,61,13,Sunny,2/12/2020
Kien Giang,30,23,0.0,64,7,Sunny,2/13/2020
Kien Giang,30,23,0.0,66,19,Sunny,2/14/2020
Kien Giang,30,23,0.0,65,37,Sunny,2/15/2020
Kien Giang,30,23,0.0,66,24,Sunny,2/16/2020
Kien Giang,30,24,0.0,71,36,Sunny,2/17/2020
Kien Giang,31,24,0.0,70,37,Sunny,2/18/2020
Kien Giang,30,24,1.5,72,33,Rain,2/19/2020
Kien Giang,30,25,1.1,74,55,Rain,2/20/2020
Kien Giang,30,25,6.9,77,48,Drizzle,2/21/2020
Kien Giang,31,26,7.4,76,31,Drizzle,2/22/2020
Kien Giang,31,25,0.0,78,55,Sunny,2/23/2020
Kien Giang,32,25,0.0,72,24,Sunny,2/24/2020
Kien Giang,31,26,16.0,74,38,Drizzle,2/25/2020
Kien Giang,30,25,47.2,74,36,Drizzle,2/26/2020
Kien Giang,31,25,0.0,69,32,Sunny,2/27/2020
Kien Giang,32,25,0.0,68,33,Sunny,2/28/2020
Kien Giang,31,26,0.9,67,40,Rain,3/1/2020
Kien Giang,30,25,1.6,71,37,Rain,3/2/2020
Kien Giang,31,25,0.0,67,21,Sunny,3/3/2020
Kien Giang,31,24,0.0,72,18,Sunny,3/4/2020
Kien Giang,31,24,0.1,76,21,Rain,3/5/2020
Kien Giang,31,25,2.4,72,33,Rain,3/6/2020
Kien Giang,31,25,0.0,73,33,Sunny,3/7/2020
Kien Giang,32,24,0.0,71,29,Sunny,3/8/2020
Kien Giang,32,25,0.0,71,33,Sunny,3/9/2020
Kien Giang,32,24,0.0,71,24,Sunny,3/10/2020
Kien Giang,32,25,0.0,72,13,Sunny,3/11/2020
Kien Giang,31,26,0.0,71,22,Sunny,3/12/2020
Kien Giang,30,27,1.6,70,27,Rain,3/13/2020
Kien Giang,32,27,1.1,68,22,Rain,3/14/2020
Kien Giang,32,27,12.0,69,32,Drizzle,3/15/2020
Kien Giang,32,26,20.5,74,45,Drizzle,3/16/2020
Kien Giang,31,26,8.5,75,55,Drizzle,3/17/2020
Kien Giang,31,26,1.2,74,50,Rain,3/18/2020
Kien Giang,31,26,34.3,75,27,Drizzle,3/19/2020
Kien Giang,31,26,4.1,76,48,Rain,3/20/2020
