province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Long An,32,23,1.6,76,25,Rain,1/1/2020
Long An,31,24,5.7,74,30,Drizzle,1/2/2020
Long An,32,24,0,72,32,Sunny,1/3/2020
Long An,31,24,2.5,73,43,Rain,1/4/2020
Long An,32,24,0,73,19,Sunny,1/5/2020
Long An,32,24,0.1,69,27,Rain,1/6/2020
Long An,32,24,0.2,69,26,Rain,1/7/2020
Long An,32,25,0,69,15,Sunny,1/8/2020
Long An,33,24,0,69,7,Sunny,1/9/2020
Long An,32,24,0.1,72,20,Rain,1/10/2020
Long An,31,24,11.5,76,50,Drizzle,1/11/2020
Long An,32,25,0,75,29,Sunny,1/12/2020
Long An,34,24,0,72,38,Sunny,1/13/2020
Long An,33,25,6.3,75,43,Drizzle,1/14/2020
Long An,30,25,33.6,85,78,Drizzle,1/15/2020
Long An,29,24,0.4,81,66,Rain,1/16/2020
Long An,32,25,0,69,20,Sunny,1/17/2020
Long An,32,24,0,65,34,Sunny,1/18/2020
Long An,33,25,0,66,44,Sunny,1/19/2020
Long An,32,26,1.6,68,58,Rain,1/20/2020
Long An,32,24,8.5,72,40,Drizzle,1/21/2020
Long An,31,24,0,70,54,Sunny,1/22/2020
Long An,32,23,0,65,27,Sunny,1/23/2020
Long An,33,24,0,66,64,Sunny,1/24/2020
Long An,33,25,3.7,70,38,Rain,1/25/2020
Long An,32,25,0.7,70,39,Rain,1/26/2020
Long An,32,22,0,63,13,Sunny,1/27/2020
Long An,33,22,0,64,12,Sunny,1/28/2020
Long An,31,24,0,70,31,Sunny,1/29/2020
Long An,32,24,0,69,19,Sunny,1/30/2020
Long An,33,23,0,68,21,Sunny,1/31/2020
Long An,34,24,0.1,69,38,Rain,2/1/2020
Long An,33,25,8.4,74,64,Drizzle,2/2/2020
Long An,32,25,0.4,77,34,Rain,2/3/2020
Long An,33,25,7.9,74,35,Drizzle,2/4/2020
Long An,32,24,2.8,76,36,Rain,2/5/2020
Long An,32,23,0,73,28,Sunny,2/6/2020
Long An,33,23,0,68,30,Sunny,2/7/2020
Long An,35,23,0,69,16,Sunny,2/8/2020
Long An,34,24,0,70,17,Sunny,2/9/2020
Long An,34,24,0,67,16,Sunny,2/10/2020
Long An,34,24,0,59,8,Sunny,2/11/2020
Long An,33,21,0,55,11,Sunny,2/12/2020
Long An,33,22,0,55,6,Sunny,2/13/2020
Long An,32,22,0,56,21,Sunny,2/14/2020
Long An,33,23,0,56,28,Sunny,2/15/2020
Long An,34,22,0,57,12,Sunny,2/16/2020
Long An,33,23,0,61,46,Sunny,2/17/2020
Long An,34,24,0,65,35,Sunny,2/18/2020
Long An,33,24,1.4,66,40,Rain,2/19/2020
Long An,31,24,0,70,57,Sunny,2/20/2020
Long An,34,25,0.9,69,38,Rain,2/21/2020
Long An,35,25,0,67,35,Sunny,2/22/2020
Long An,35,25,0,67,19,Sunny,2/23/2020
Long An,35,25,0,64,21,Sunny,2/24/2020
Long An,35,25,4,63,29,Rain,2/25/2020
Long An,34,25,5.5,67,49,Drizzle,2/26/2020
Long An,34,25,0,60,38,Sunny,2/27/2020
Long An,35,25,0,58,17,Sunny,2/28/2020
Long An,35,25,0.6,55,28,Rain,3/1/2020
Long An,34,25,2.5,59,34,Rain,3/2/2020
Long An,35,25,0,57,12,Sunny,3/3/2020
Long An,34,24,0,62,8,Sunny,3/4/2020
Long An,34,24,0,66,7,Sunny,3/5/2020
Long An,34,24,0,70,29,Sunny,3/6/2020
Long An,34,25,0,64,22,Sunny,3/7/2020
Long An,34,24,0,65,11,Sunny,3/8/2020
Long An,34,24,0,63,11,Sunny,3/9/2020
Long An,35,24,0,64,7,Sunny,3/10/2020
Long An,36,24,0,67,7,Sunny,3/11/2020
Long An,35,24,0,66,15,Sunny,3/12/2020
Long An,34,25,0,64,31,Sunny,3/13/2020
Long An,36,26,0.2,57,29,Rain,3/14/2020
Long An,35,26,0,64,26,Sunny,3/15/2020
Long An,35,26,0.1,66,43,Rain,3/16/2020
Long An,34,26,0,67,38,Sunny,3/17/2020
Long An,34,26,0,67,8,Sunny,3/18/2020
Long An,35,26,1.1,65,22,Rain,3/19/2020
Long An,35,26,0.5,65,29,Rain,3/20/2020
Long An,35,26,0.5,69,49,Rain,3/21/2020
Long An,33,26,0.4,68,66,Rain,3/22/2020
Long An,35,25,0,66,16,Sunny,3/23/2020
Long An,36,26,0,65,14,Sunny,3/24/2020
Long An,36,27,0,63,21,Sunny,3/25/2020
Long An,37,26,0,58,6,Sunny,3/26/2020
Long An,37,27,0,52,18,Sunny,3/27/2020
Long An,36,27,0,55,27,Sunny,3/28/2020
Long An,37,27,0,58,27,Sunny,3/29/2020
Long An,37,27,0,56,33,Sunny,3/30/2020
Long An,37,27,0,61,31,Sunny,3/31/2020
Long An,36,27,26,67,45,Drizzle,4/1/2020
Long An,34,26,4.7,67,42,Rain,4/2/2020
Long An,33,27,9.7,67,47,Drizzle,4/3/2020
Long An,34,26,0.1,63,43,Rain,4/4/2020
Long An,34,27,1.3,63,33,Rain,4/5/2020
