province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Tra Vinh,30,24,3.6,77,26,Rain,1/1/2020
Tra Vinh,30,24,0.2,75,18,Rain,1/2/2020
Tra Vinh,30,25,0,71,31,Sunny,1/3/2020
Tra Vinh,30,24,0.1,73,43,Rain,1/4/2020
Tra Vinh,30,24,0,76,14,Sunny,1/5/2020
Tra Vinh,29,25,0,75,23,Sunny,1/6/2020
Tra Vinh,30,25,0,76,28,Sunny,1/7/2020
Tra Vinh,29,25,0,77,20,Sunny,1/8/2020
Tra Vinh,30,25,0,76,10,Sunny,1/9/2020
Tra Vinh,30,25,0,75,10,Sunny,1/10/2020
Tra Vinh,30,25,1.9,76,39,Rain,1/11/2020
Tra Vinh,32,24,0.2,78,26,Rain,1/12/2020
Tra Vinh,33,24,0.3,77,26,Rain,1/13/2020
Tra Vinh,32,24,1.2,79,49,Rain,1/14/2020
Tra Vinh,29,25,18.5,84,75,Drizzle,1/15/2020
Tra Vinh,28,24,0.2,85,66,Rain,1/16/2020
Tra Vinh,30,25,0,75,30,Sunny,1/17/2020
Tra Vinh,28,25,0.1,72,49,Rain,1/18/2020
Tra Vinh,30,25,1.2,73,38,Rain,1/19/2020
Tra Vinh,29,25,0.5,72,59,Rain,1/20/2020
Tra Vinh,30,25,0.4,71,37,Rain,1/21/2020
Tra Vinh,29,25,0,70,43,Sunny,1/22/2020
Tra Vinh,31,24,0,67,28,Sunny,1/23/2020
Tra Vinh,30,25,0.3,73,65,Rain,1/24/2020
Tra Vinh,31,25,1,72,31,Rain,1/25/2020
Tra Vinh,31,25,0,67,21,Sunny,1/26/2020
Tra Vinh,30,23,0,66,22,Sunny,1/27/2020
Tra Vinh,31,23,0,64,15,Sunny,1/28/2020
Tra Vinh,30,24,0.2,73,25,Rain,1/29/2020
Tra Vinh,31,24,0.1,74,20,Rain,1/30/2020
Tra Vinh,32,23,0,68,20,Sunny,1/31/2020
Tra Vinh,32,23,0.2,72,44,Rain,2/1/2020
Tra Vinh,31,25,3.5,74,59,Rain,2/2/2020
Tra Vinh,31,24,2.5,77,36,Rain,2/3/2020
Tra Vinh,31,24,0.2,75,29,Rain,2/4/2020
Tra Vinh,32,24,6.2,77,37,Drizzle,2/5/2020
Tra Vinh,31,23,0.5,76,27,Rain,2/6/2020
Tra Vinh,33,23,0.1,71,27,Rain,2/7/2020
Tra Vinh,35,22,0,74,15,Sunny,2/8/2020
Tra Vinh,32,24,0.2,73,20,Rain,2/9/2020
Tra Vinh,31,23,0.1,71,26,Rain,2/10/2020
Tra Vinh,31,24,0,62,11,Sunny,2/11/2020
Tra Vinh,30,23,0,56,19,Sunny,2/12/2020
Tra Vinh,31,23,0,58,6,Sunny,2/13/2020
Tra Vinh,31,23,0,61,19,Sunny,2/14/2020
Tra Vinh,31,23,0,59,32,Sunny,2/15/2020
Tra Vinh,31,23,0,62,11,Sunny,2/16/2020
Tra Vinh,32,23,0,67,45,Sunny,2/17/2020
Tra Vinh,32,24,0,67,24,Sunny,2/18/2020
Tra Vinh,33,24,0.4,68,34,Rain,2/19/2020
Tra Vinh,30,24,0,75,55,Sunny,2/20/2020
Tra Vinh,33,24,0,76,23,Sunny,2/21/2020
Tra Vinh,33,25,0.1,74,24,Rain,2/22/2020
