province,temp_max,temp_min,precipitation,humidity,cloud,weather_type,date
Vinh Long,31,23,0.2,78,32,Rain,1/1/2020
Vinh Long,31,23,0.8,76,24,Rain,1/2/2020
Vinh Long,31,23,0.0,73,35,Sunny,1/3/2020
Vinh Long,30,23,1.2,75,58,Rain,1/4/2020
Vinh Long,31,23,0.0,77,20,Sunny,1/5/2020
Vinh Long,31,24,0.8,74,28,Rain,1/6/2020
Vinh Long,31,24,0.0,75,24,Sunny,1/7/2020
Vinh Long,31,24,0.0,75,16,Sunny,1/8/2020
Vinh Long,31,24,0.0,75,10,Sunny,1/9/2020
Vinh Long,31,23,0.1,76,16,Rain,1/10/2020
Vinh Long,31,23,8.4,79,39,Drizzle,1/11/2020
Vinh Long,31,23,0.0,78,31,Sunny,1/12/2020
Vinh Long,33,24,0.0,74,23,Sunny,1/13/2020
Vinh Long,33,24,3.5,78,43,Rain,1/14/2020
Vinh Long,28,24,14.2,89,70,Drizzle,1/15/2020
Vinh Long,29,23,1.0,86,67,Rain,1/16/2020
Vinh Long,31,24,0.0,76,23,Sunny,1/17/2020
Vinh Long,30,24,0.0,71,48,Sunny,1/18/2020
Vinh Long,31,23,0.2,74,31,Rain,1/19/2020
Vinh Long,30,24,1.0,74,65,Rain,1/20/2020
Vinh Long,31,23,1.9,76,35,Rain,1/21/2020
Vinh Long,30,23,0.2,73,50,Rain,1/22/2020
Vinh Long,31,22,0.0,67,32,Sunny,1/23/2020
Vinh Long,32,24,0.0,70,59,Sunny,1/24/2020
Vinh Long,32,24,0.4,73,45,Rain,1/25/2020
Vinh Long,31,24,0.3,72,42,Rain,1/26/2020
Vinh Long,31,21,0.0,66,16,Sunny,1/27/2020
Vinh Long,31,21,0.0,65,14,Sunny,1/28/2020
Vinh Long,31,22,0.0,72,37,Sunny,1/29/2020
Vinh Long,31,22,0.3,73,27,Rain,1/30/2020
Vinh Long,32,21,0.0,68,19,Sunny,1/31/2020
Vinh Long,33,22,0.3,68,48,Rain,2/1/2020
Vinh Long,31,24,1.5,78,67,Rain,2/2/2020
Vinh Long,32,24,1.0,77,61,Rain,2/3/2020
Vinh Long,32,23,1.1,76,36,Rain,2/4/2020
Vinh Long,32,23,2.6,77,40,Rain,2/5/2020
Vinh Long,32,23,0.2,75,30,Rain,2/6/2020
Vinh Long,34,22,0.0,70,30,Sunny,2/7/2020
Vinh Long,33,21,0.0,70,21,Sunny,2/8/2020
Vinh Long,33,23,0.2,73,25,Rain,2/9/2020
Vinh Long,32,22,0.2,72,24,Rain,2/10/2020
Vinh Long,32,22,0.0,64,10,Sunny,2/11/2020
Vinh Long,32,20,0.0,58,13,Sunny,2/12/2020
Vinh Long,32,20,0.0,60,6,Sunny,2/13/2020
Vinh Long,32,21,0.0,61,21,Sunny,2/14/2020
Vinh Long,32,22,0.0,60,34,Sunny,2/15/2020
Vinh Long,32,21,0.0,60,13,Sunny,2/16/2020
Vinh Long,32,22,0.1,67,46,Rain,2/17/2020
Vinh Long,33,23,0.0,67,38,Sunny,2/18/2020
Vinh Long,33,22,0.8,68,39,Rain,2/19/2020
Vinh Long,30,23,0.0,73,56,Sunny,2/20/2020
Vinh Long,34,23,1.2,73,39,Rain,2/21/2020
Vinh Long,35,24,0.1,70,36,Rain,2/22/2020
Vinh Long,35,24,0.0,70,30,Sunny,2/23/2020
Vinh Long,35,23,0.0,68,22,Sunny,2/24/2020
Vinh Long,34,24,3.2,66,34,Rain,2/25/2020
Vinh Long,33,24,5.3,71,35,Drizzle,2/26/2020
Vinh Long,34,24,0.0,62,30,Sunny,2/27/2020
Vinh Long,35,24,0.0,59,18,Sunny,2/28/2020
Vinh Long,35,24,0.3,58,31,Rain,3/1/2020
Vinh Long,34,24,3.6,62,37,Rain,3/2/2020
Vinh Long,34,23,0.0,59,17,Sunny,3/3/2020
Vinh Long,34,23,0.0,63,12,Sunny,3/4/2020
Vinh Long,34,22,0.0,69,29,Sunny,3/5/2020
Vinh Long,35,23,0.0,68,28,Sunny,3/6/2020
Vinh Long,35,23,0.0,66,27,Sunny,3/7/2020
Vinh Long,35,22,0.0,65,20,Sunny,3/8/2020
Vinh Long,35,23,0.0,64,18,Sunny,3/9/2020
Vinh Long,35,23,0.0,64,10,Sunny,3/10/2020
Vinh Long,36,22,0.0,65,15,Sunny,3/11/2020
Vinh Long,38,23,0.0,61,13,Sunny,3/12/2020
Vinh Long,36,25,0.2,57,29,Rain,3/13/2020
Vinh Long,36,26,3.3,59,33,Rain,3/14/2020
Vinh Long,36,25,0.0,62,24,Sunny,3/15/2020
Vinh Long,36,25,3.0,68,42,Rain,3/16/2020
Vinh Long,34,25,2.2,70,42,Rain,3/17/2020
Vinh Long,35,25,0.1,68,29,Rain,3/18/2020
Vinh Long,34,25,8.9,70,25,Drizzle,3/19/2020
Vinh Long,34,25,0.0,69,36,Sunny,3/20/2020
Vinh Long,35,25,6.5,71,44,Drizzle,3/21/2020
Vinh Long,32,25,0.8,71,61,Rain,3/22/2020
Vinh Long,35,24,0.0,67,17,Sunny,3/23/2020
Vinh Long,35,25,0.0,67,28,Sunny,3/24/2020
Vinh Long,35,26,2.3,66,31,Rain,3/25/2020
Vinh Long,37,25,0.0,61,12,Sunny,3/26/2020
Vinh Long,36,26,0.0,58,14,Sunny,3/27/2020
Vinh Long,35,26,0.0,58,30,Sunny,3/28/2020
Vinh Long,37,26,0.2,62,29,Rain,3/29/2020
Vinh Long,37,26,0.1,60,38,Rain,3/30/2020
Vinh Long,35,26,2.1,63,32,Rain,3/31/2020
Vinh Long,36,26,6.4,69,41,Drizzle,4/1/2020
Vinh Long,33,26,5.2,68,52,Drizzle,4/2/2020
Vinh Long,33,26,6.7,68,59,Drizzle,4/3/2020
Vinh Long,34,25,0.0,65,36,Sunny,4/4/2020
Vinh Long,34,25,2.5,67,37,Rain,4/5/2020
Vinh Long,34,26,3.1,65,37,Rain,4/6/2020
Vinh Long,35,26,0.0,67,28,Sunny,4/7/2020
Vinh Long,36,26,1.0,67,34,Rain,4/8/2020
Vinh Long,36,26,2.1,67,21,Rain,4/9/2020
Vinh Long,36,26,1.6,68,32,Rain,4/10/2020
Vinh Long,38,26,0.0,64,20,Sunny,4/11/2020
Vinh Long,38,27,0.0,61,13,Sunny,4/12/2020
Vinh Long,36,26,0.1,63,20,Rain,4/13/2020
Vinh Long,37,26,0.0,60,8,Sunny,4/14/2020
Vinh Long,37,25,0.0,62,14,Sunny,4/15/2020
Vinh Long,37,25,0.0,64,24,Sunny,4/16/2020
Vinh Long,36,25,0.1,65,45,Rain,4/17/2020
