"week_id","week_number","year"
1,1,2020
2,2,2020
3,3,2020
4,4,2020
5,5,2020
6,6,2020
7,7,2020
8,8,2020
9,9,2020
10,10,2020
11,11,2020
12,12,2020
13,13,2020
14,14,2020
15,15,2020
16,16,2020
17,17,2020
18,18,2020
19,19,2020
20,20,2020
21,21,2020
22,22,2020
23,23,2020
24,24,2020
25,25,2020
26,26,2020
27,27,2020
28,28,2020
29,29,2020
30,30,2020
31,31,2020
32,32,2020
33,33,2020
34,34,2020
35,35,2020
36,36,2020
37,37,2020
38,38,2020
39,39,2020
40,40,2020
41,41,2020
42,42,2020
43,43,2020
44,44,2020
45,45,2020
46,46,2020
47,47,2020
48,48,2020
49,49,2020
50,50,2020
51,51,2020
52,52,2020
53,53,2020
54,1,2021
55,2,2021
56,3,2021
57,4,2021
58,5,2021
59,6,2021
60,7,2021
61,8,2021
62,9,2021
63,10,2021
64,11,2021
65,12,2021
66,13,2021
67,14,2021
68,15,2021
69,16,2021
70,17,2021
71,18,2021
72,19,2021
73,20,2021
74,21,2021
75,22,2021
76,23,2021
77,24,2021
78,25,2021
79,26,2021
80,27,2021
81,28,2021
82,29,2021
83,30,2021
84,31,2021
85,32,2021
86,33,2021
87,34,2021
88,35,2021
89,36,2021
90,37,2021
91,38,2021
92,39,2021
93,40,2021
94,41,2021
95,42,2021
96,43,2021
97,44,2021
98,45,2021
99,46,2021
100,47,2021
101,48,2021
102,49,2021
103,50,2021
104,51,2021
105,52,2021
106,53,2021
107,1,2022
108,2,2022
109,3,2022
110,4,2022
111,5,2022
112,6,2022
113,7,2022
114,8,2022
115,9,2022
116,10,2022
117,11,2022
118,12,2022
119,13,2022
120,14,2022
121,15,2022
122,16,2022
123,17,2022
124,18,2022
125,19,2022
126,20,2022
127,21,2022
128,22,2022
129,23,2022
130,24,2022
131,25,2022
132,26,2022
133,27,2022
134,28,2022
135,29,2022
136,30,2022
137,31,2022
138,32,2022
139,33,2022
140,34,2022
141,35,2022
142,36,2022
143,37,2022
144,38,2022
145,39,2022
146,40,2022
147,41,2022
148,42,2022
149,43,2022
150,44,2022
151,45,2022
152,46,2022
153,47,2022
